token,count,class,domain
ing,1112,native,GRAMMAR
kang,599,native,GRAMMAR
lan,533,native,GRAMMAR
wong,452,native,OTHER
ana,346,native,GRAMMAR
ora,339,native,GRAMMAR
tanah,326,native,NATURE
iku,306,native,GRAMMAR
tahun,305,native,NUMBER
saka,215,sanskrit,OTHER
marang,201,native,GRAMMAR
banjur,183,native,GRAMMAR
dadi,182,native,ACTION
walanda,175,foreign,OTHER
voc,173,foreign,OTHER
jawa,170,native,OTHER
padha,162,native,ACTION
wis,159,native,GRAMMAR
mau,151,native,GRAMMAR
para,150,native,OTHER
banget,137,native,QUALITY
pangeran,132,sanskrit,OTHER
nanging,129,native,GRAMMAR
sultan,128,sanskrit,OTHER
banten,121,native,OTHER
yen,118,native,GRAMMAR
bisa,117,native,ACTION
akeh,116,native,QUALITY
menyang,115,native,ACTION
ratu,106,native,OTHER
mung,106,native,GRAMMAR
iya,104,native,GRAMMAR
sang,101,native,GRAMMAR
nalika,98,native,GRAMMAR
kutha,98,native,OTHER
bangsa,97,native,OTHER
inggris,97,foreign,OTHER
nganti,95,native,GRAMMAR
van,93,foreign,OTHER
indhiya,91,foreign,OTHER
karo,90,native,GRAMMAR
enggone,89,native,GRAMMAR
awit,84,native,GRAMMAR
gg,81,foreign,OTHER
utawa,80,native,GRAMMAR
cina,79,foreign,OTHER
gedhe,78,native,QUALITY
mataram,77,native,OTHER
karajan,74,native,OTHER
dhewe,74,native,GRAMMAR
betawi,73,foreign,OTHER
dene,72,native,GRAMMAR
prabu,72,sanskrit,OTHER
perang,72,native,ACTION
compagnie,71,foreign,OTHER
uga,70,native,GRAMMAR
jumeneng,69,native,ACTION
kena,68,native,ACTION
bareng,68,native,GRAMMAR
oleh,67,native,ACTION
maneh,66,native,GRAMMAR
sunan,66,sanskrit,OTHER
daendels,66,foreign,OTHER
arep,64,native,ACTION
isih,64,native,GRAMMAR
yaiku,63,native,GRAMMAR
bae,63,native,GRAMMAR
prajurit,62,native,OTHER
nagara,61,sanskrit,OTHER
nuli,61,native,GRAMMAR
kraman,60,native,OTHER
wiwit,57,native,GRAMMAR
malah,57,native,GRAMMAR
parentah,57,native,OTHER
kono,56,native,GRAMMAR
cilik,55,native,QUALITY
jajahan,55,native,OTHER
prau,54,native,OTHER
sarta,52,native,GRAMMAR
sing,52,native,GRAMMAR
bab,51,native,OTHER
mulane,51,native,GRAMMAR
saya,50,native,QUALITY
suwe,50,native,QUALITY
bumi,49,native,NATURE
dedagangan,48,native,ACTION
pulo,48,native,NATURE
indhu,47,sanskrit,OTHER
gupermen,47,foreign,OTHER
aran,46,native,OTHER
marga,45,native,OTHER
kaya,43,native,QUALITY
jalaran,43,native,GRAMMAR
wetan,41,native,NATURE
tekan,41,native,ACTION
seda,41,native,BODY
gawe,41,native,ACTION
kanggo,41,native,GRAMMAR
portegis,41,foreign,OTHER
prakara,40,native,OTHER
kangjeng,40,native,OTHER
wasana,39,native,GRAMMAR
abad,38,native,NUMBER
generaal,38,foreign,OTHER
duwe,37,native,ACTION
kudu,37,native,ACTION
luwih,37,native,QUALITY
raden,37,sanskrit,OTHER
coen,37,foreign,OTHER
nganggo,36,native,ACTION
nata,36,native,ACTION
punggawa,36,sanskrit,OTHER
agung,36,sanskrit,OTHER
buwana,36,sanskrit,OTHER
majapait,35,native,OTHER
jaman,34,native,OTHER
sarehne,34,native,GRAMMAR
negara,34,native,OTHER
bakal,34,native,GRAMMAR
moloko,34,foreign,OTHER
dhuwit,34,native,OTHER
becik,33,native,QUALITY
kayata,32,native,GRAMMAR
liyane,32,native,GRAMMAR
pati,32,native,BODY
adipati,32,sanskrit,OTHER
supaya,32,native,GRAMMAR
pranatan,32,native,OTHER
agama,31,native,OTHER
kabeh,31,native,NUMBER
europa,31,native,OTHER
mangkurat,31,native,OTHER
wus,30,native,GRAMMAR
durung,30,native,GRAMMAR
ngayogyakarta,30,native,OTHER
surakarta,30,native,OTHER
mas,30,native,OTHER
prajangjian,30,native,OTHER
dhek,29,native,GRAMMAR
lagi,29,native,GRAMMAR
dalan,29,native,NATURE
de,29,foreign,OTHER
dagang,29,native,ACTION
wektu,28,native,NUMBER
tansah,28,native,GRAMMAR
beteng,28,native,OTHER
sepanyol,28,foreign,OTHER
monopolie,28,foreign,OTHER
gouverneur,28,unknown,
kulon,27,native,NATURE
