ann_id,source_file,sentence_text,auto_mention_types,auto_keywords,ann_is_archaeological,ann_correct_types,ann_notes
ANN0001,paras_1499.txt,"Van Cormandel den 19:' Septemb:r 1691 — Heere Commisss generael int voortaer, by syn hoog Ed. s aanwesen op tutucorijn, Considererende het gebrek van kattoen indese landen, aldaer believen te laten incopen, en vervolgens over manaar, en taffenepatnam ons toegesonden een quantit:t van 139452. lb. ongesuijvert, oft nog met de korls vermengt kattoen in 1000: balen, dewelke volgens facturo komt te kosten met de ongelden, debhaar van 480. lb pagode 4 3/3 off. f 26: 6. –. waermede wij als nog niet anders om voor verhaalde redenen hebben uijtgeregt, als een klene quantiteyt vande korls te laten suijveren, daerbij bevonden is, dat van vier ponden een pont schaars word behouden ende ongelden van dien 1: lb 1½ banimn oft 7½ ligte sthrs belopen, off op een bhaer van 480: lb pr 7½ f 45:—:— van dese partije hebben wij na pallecatta 100: balen versonden om te ondervinden hoedanigd' zuijvering aldaermede mogte toedragen, mitsgsz: garen van gesponnen, en verbruijkt te werden daer en sodanig sy nogte nodig vinden, off wel voor reecq: vande Comp: omsetten soo de prijs passeren kan, dog terwyle demensch en indielanden meest gewoon sijn in gesuijvert kattoen te handelen, en vande Instrumenten daertoe niet genoeg versien sijn, soo heeft het spinnen geen voortgang willen nemen nog Comp: koopluyjden en wevens",MONUMENT,pagode,,,
ANN0002,paras_1111.txt,"van 16 stx. , diemen voordesen Gecocht heeft voor een pagode 13 ofte 14 Ø voor d'selve prijs bequame tot dat de tijden veranderen, t Cattoen beter coop ende de wevers weder verhandelt sullen wesen, Jambijen de west Custe hebben van dese sorteringhe Jaerlice veel van doene, batta van Gelijcke, hier Nevens gaen twee verscheijde Monsters van Negros Cleeden, die meene dat door de portugijsen om de zuijt sijn doen maecken, de molucos Eijscht partije van dese soorte te becomen sijn. , laet die int werck stellen ende Geeft ons daer van advijs, daer in Can werden Gedaen, Soo lange t' Gunees linnen inde quartieren Van paricol en datcheron soo schaers blijft en gelijck OE schrijven niet te becomen is, dient' selve van zuijt geprocureert, en soo Goeden quantite als eenichsints doenljk is, Grooten menichten gelijk ve weten hebben Iaerlicx soo voor India als neerlant van doene, over sulcx dienende wevers ontrent masilipatnam tot het maecken van Gunees linnen geanimeert op dat niet Geheel vant maecken deser lijwaten en vervreemden, en dient al aengenomen dat leveren, schoon wat Grover en dierder mocht wesen ofte Geraeckt anders in handen van dEngelsche en d'eenen, tis oock seecker de wevers meer tot maecken van salampourij en betilles inclineren, als tot dese Croue lijwaeten, vermits hun lichter int weven vallen, soo veel Caeren niet van Noode hebben, en dat de salampourij ende betilles van ijder een Getrocken worden, men soude oock t' gebreeckenlijk Gunees linnen met Grone salampourij connen suppleren, tot dat de landen in beter Gestalte comen, t' Cattoen goeden Coop, en t' gunees linnen weder in tranj sal wesen, Gemaeckte hemden ende broucken, sullen volgens VE: schrijven vr t'eerstcomene schip dat wtrecht soo wij verhoopen sal wesen, werwachten, en dient daer inne gecontinueert, nevens eenige van goet lijnwaet, Hier nevens sende Monsters van fijne ende Grove tappasarassen, de fijne worden om de suijt gemaeckt, ende begeeren voor eerst 10 packen Conform de monster, mits dat wel geleth wert t' bomwerck niet grooter wert Gemaeckt en de hooffden schoon root daer Java seer op siet en wel betaelt, dat vande slechte is een snoch ordre urij der 10 rnam oort ijse nie kennis Jan 6 pan, dient sal de ecken genooct. die laet de 16. asta ,ende volle tot het d. r seer lij rden, pen, geleij masamlwaert schieden sijn ckx comen houden men ugen fs tot van dat plaets",MONUMENT,pagode,,,
ANN0003,paras_1063.txt,"Dtegenstaende pthyen. /32 :5228. . . . . . . . . . . . . . . . . . . f24412 4 14 1 pack Indigo No 331 wegende 6¼ man a 40 /8 1- . . . pagode de candz..... 1 dito No: 334 wegende 6 man, 10 ceer 12 Do: No: 335. 337. 338. 339: 340: 342. 343. 344. 346. 347. 348. 349. wegende yder 6¼ man k 44b. pagode de cande. . . . . . . . . 165:9/ 1 dito No. 350 weecht 6 man 10 ceer  17. 14 /8 12 do: No: 353, 355, 357, 358, 363, 365, 366. 367. 368. 369. 370. 371. wegende yder 6¼ man a 64 pagode de candy. . . . . . 240- 1do: No: 372 weecht 6 man 10 ceer 5 do: No: 373. 375: 376. 378. 379. wegende yder 6¼ man a 55 pagode de Candy. . . . . . . 85. 14 1/16 22 do: No: 382. 383: 384, 386, 387, 388, 389, 390. 391, 393, 394, 395, 396, 398. 399, 400. 501. 503. 504. 510. 512. 516. wegende yder 6¼ man a pagode 70 de candx. . . . . . . . . . . . 481. 3/¾ 3 do: No: 518. 522. 532. wegende yder 6¼ man a —. . . . 60. 14 1/8 65 pagode de canden: 5 do: No. 547. 548. 549. 553. 559. wegende yder 6¼ man a 65 pagode de candz. . . . . . . . . . . 101. 8 1/16 1d:o N:o 577. wegende 6¼ man tosten. . . . . . . . 14. 1/16 26 do: No: 579. 580. 583, 584. 590. 592, 593, 594. 596. 598, 602, 607, 609, 611, 614, 614, 624, 625. 626, 627. 628. 629. 631. 633. 633. 634. wegen yder 6¼ man a 65. pagode de candy. . . . . . 528. 1 3/8 2 D:o N:o 678. 639. wegende yder 6¼ man a 85 pagode 53. 1 3/8 90de cande. 7do: No:. 640. 651. 652. 654. 655. 656. 658. wegende 185. 14 1/16 yder 6¼ man a 85 pagoden de canden. 13 Cassen Indigo van No 1 tot 13 wegende tsamen 2467 5/8 lb hollants costende 385. 9 3/8 6937 18¾ p. ongelten op voors Indigo op de iuste gedaen 22412 4 gereeckent pro rato der factuijre. . . .",MONUMENT,pagode,,,
ANN0004,paras_1227.txt,"groote schip, naseret op prlmo stantij soo seij ledich van daer herwarts is vertrocken ende gedeelte sijner lading drie daeren geleden, vr 7. aronte boots hier aengeboden, dd Compes om de geleende penningen niet moeijelijck te sullen vallen, in Cas wij met de aencompste vande taijoanse schepen — geen capitael genoch bequamen, en daerenboven oock toegestaen hier ter plaetse vant schuijtsilver etc: ropias temogen slaen, dat voor waer geen clene benefitie soude wesen, soo deselve slecht — onder dese superstitieuse heijdenen in trijn conden gebracht werden, Waertoe veld sal helpen — als sijn hoocheijt op ons gedane nader versoeck gelieft tebevelen tlants tollen daermede— a 3/8 ropia per pagoode alomme mogen betaelt werden, op welcke gonstige toestaen wij dan de topie op de waerde vande bengaelse tk Kopien sullen doen maecken, die wel d'hoogste van alloij oock alomme ganckbaer zijn, ende volgens t gevoelen van St Coulster— op masulipatam a 3½ pr een palliacatse — vagoodt wel in trijn soude tebrengen — wesen, sulcx dan soo volgende soude de Compe opt vermunten vant schuijtsilver tot ropien (affgetrocken des munts gerechtigheijt, tot 5 str pr va 1¾ percento ende 3½ per pagode n VCo comen te proffiteren, dat veele met den Jegenwoordige prijs des silver, dat — present met geen 10 Rs verlies hier ter — plaetse can gedebiteert werden verscheelt, leggende dat minerael ende de abassies — present vermits de landen voorden Coopman niet veijl zijn, hier als een doot effect sulcx wd voornemens zijn met teerste weijfffelen vant noorde moussson met eene der oorlogh Chialoepen daervan ten minsten een — tonne gout naer masulibatam versenden Jn voorsz. brieff versoeck den nababserr beleefdelijck om paspoort voor een sijner seven nae maccassar onder vaste belofte",MONUMENT|ARTIFACT,pagode|penningen,,,
ANN0005,paras_1175.txt,"Rutgerus Tascseragh apparentelijck naer Tagouan te vertrecken, die reste blijft voor als noch alhier continueeren, om die wacht des Heeren waer te neemen. leij en wran niet naerlanten uEd: op 't hooghste te dancken, dat eenmael door nae Ed: authoritatie beveelen den Chineeschen afhadt van die publiqúe straaten uijt t' gerichte van onse jeught en tedere in landtsche Christenen geweert is: Ende alhoewel den tempel der Chineesen noch vervult met chineesche beelden, reliquien en vervaarlijcke gedaan der duijvelen openstaat, hebben evenwel kope dat dieselve ten vollen van onse overighen, zijnde een grouwel den grouwelen, verbannen en verbroocken sal worden; doen niet te min versoucken eerbiedelijck (of misschien eenighe consideratien dit werck alhier tardeerden) dat deese Christlijck ordre uijt 't Vaderlandt van UEd: gesonden wierde, dat ten vollen uijtgeroeijt, en in plaatze van dien een maleijtsche kercke getimmert ende opgerecht wierde, soude sulckx zijn een seer christelick werck over het welcke sonder twijffel Godts handen openstaen om het selve te begeradighen.",MONUMENT|ARTIFACT,tempel|beelden,,,
ANN0006,paras_1158.txt,"In't Casteel Batavia waer uijt 't meerderen van d'ongelden resulteerde, wird bij — nevens comende Memorie verthoont, besijden dat was 't quarnisoen stercker als voorige Jaren, om te beter op hoede en — deffensie te sijn, desmalle winsten waren door den gedurigen Oorlogh, en geringen afftreck der Coopman. veroorsaeckt Van: 't dorp Tonnemanantam omtrendt Tegenapatnam gelegen, bleeff d' Comp. e noch niet wel versekert, 't incomen — van dat als andere dorpen Mansjnwacke anwour ende — Erecan, alle oncosten in vereeringh affgetrocken, hadt gemelten heere 't generael goet gedaen, ende gaff in bedencken — off voort aen 't overcomende van die dorpen, niet behoorde op — schenckagie gebracht te worden, alsoo deselve daer door — vergroot, ende vereijsschte recognitie derwegen geschiede, — waerjegens eenlijck te crediteren had, den halven Tol van — d' in en uijtgaende goederen over Zee, 't gunt weijnigh emporteerde, Item de toegestane pagode op ijder pack ende bhaer met — Letchemaneijck gecontracteert, daerop sijn E. ordre te — genoot sagh./ Om van Chimanna voldaen te worden, wbird goede hoop gegeven, Immers buijten sijne presentie, maer sou beswaerlijck — uijt desselffs. travailles geraecken, tot restauratie werd — hem soo veel doenelijk de hand gebooden, om denselven aende Comp. e te verbinden, ende geen Oorsaeck, te geven, andere Jegens ons aen sehitsen., 312: Een",MONUMENT,pagode,,,
ANN0007,paras_1119.txt,"Wij waren door dese tijdinge wat beter getroost, ende bejden olvangh tsiat, dat morgen als met den Coninck uijt spelen voer, hem bij oloangh sapartiban ende des maijts camerlingen vervoegen, ende haer Eden volcomentlijck vande gelegentheijt onser saecken informeeren soude met vriendelijk versoeck haere hulpe, ons in desen gunstelijck te bewusen, alle 't welcke neersteli te verechten olvangh tsiat seer gaerne aengenomen heeft Ai 6en d. o is den coninck met alle sijnen adel nae vrae kheeuw gevaeren (een tempel ontrent 4: mijlen van India gelegen) om de hoden aldaer sijn off erhande te doen waer over in onse hooch nodige saken, tot mijn groot herten leel. niet gevordert",MONUMENT,tempel,,,
ANN0008,paras_1108.txt,"Manendagh den 30n Maijo A:o 1633:— Hel schip weesp heden van Marta Pura, olim — Bandarmassingh alhier gearriveert, hebbende cleene negotie gedaen, doordien de Mancassaren alle den peper van daer vervoert hadden, Is feresolveert dat opt spoedichste gelost ende claer gemaect sall werden, om met 75 man daer onder soldaten de reijse naer de Custe van China mede te doen in Compe vande heere putmant ende sall geprovideert werden gelijck alle d'ander schepen ende Jachten naer de Custe van China geordineert, Sal is voor twaelf maenden van rijt ende aracq, ende voor se maenden van vleesch speck olij ende azijn Ende was ondertreckent Henrick Brouwer, Pieter Vlack, Marten Isbrantsz, Joan vander burch, ende hant putmane.",MONUMENT,Pura,,,
ANN0009,paras_1417.txt,"Van bantam den 19e augustus Ao 1685: van't Hoofdt van den misdadiger heeft gestraft, zoo neemt zulcx egter niet weg het misnoegen dat zijn Hoogheijt daar over getoont, en aan ons heeft laten betuijgen, daarbij nog Comt dat een ander soldaat, vol en drocken zijnde, straat schenderije aangeregt zelfs in de wooninge der Javanen, en aldaar met zijdgeweer zekeren Javaan door den Arm heeft gesteeken; behalven dat deser dagen nog een ander soldaat uijt het Casteel den geheelen Tempel met zijn houwer schoon gemaackt, en zelfs den priester daar uijt heeft verdreven, waarover d'een en ander bij ons geapprehendeert en in hegtenisse zijn gestelt, maar wij vinden ons al vrij wat verlegen op wat voedt wij haar te Regt stellen en zullen konnen sententieren in eenige vergelijkinge van de parate Iustitie, die den zulthan over 't dodelijk quetsen van voorsz: onsen soldaat heeft geexerceert, onstaande alle dese quade exempelen ende onstigtige voorgangen van hare officieren, het welke het opperhooft aanneemt wat nader te deduceren, wanneer zijn beterschap met Godes hulpe wat meer toegenomen, en hij in staat zal wesen depen te konnen voeren gister avondt zijn de Chialoupen de leeuw en paliacatta met de vier pantsjallangs daartoe geschickt, volgens uw: Hoog Eden schriftelijke ordre naar 't nauw der straat vertrocken, om aldaar het vaar water te becruijssen en op de aankomende scheepen te passen, en is mede hier aangekomen het scheepje westbroek, uijt het vaderlandt vervallen op Zillebaar, met verscheijde zieken en jnpotenten, ons open toebrengende dese bijgevoegde missive aan uw: Hoog Edns vervattende den toestandt der zaken aldaar, waar van wij Copije hebben behouden, om ons daar van, daar 't vereijscht, te konnen dienen; den zulthan heeft mede een brief van zijne gevanten derwaarts ontfangen, en ons desen avond dezelve toegesonden, om bij ons schrijvens aan uw: Hoog Edns te vougen, en daarbij te melden, dat bij aldien uw Hoog Edn mogten Resolveren, eenige scheeps magt naar dat gewest te zenden, Hij wel zoude genegen wesen een duijsent man of meer daarmede te laten overvaren, tot afwijsinge der vreemdelingen, en dempen van de Rebellen aldaar, met verdere aansegginge dat sij daarover apparent een briefije zoude laten schrijven, maar of daar wat van vallen zal, weten wij niet, monsr Caaf is thans nog met zijn Hoogheijt in Conferentie van de middag is de schenckagie onder genoemde monsr Caaf met statie afgehaalt, en met 't lossen van 20: Conon schoten door zijn Hoogheijt aangenaamelijk ontfangen, zijnde het kooijetje met 8: Siamse Hoendertjes mede onder de geschencken na binnen gedragen, het welcke in 't Casteel door den Capitaijn feijth daar van is afgenomen, met dese woorden: dat is mij particulier door zijn Edt belast om aan de Conink te bestellen, gelijk hij 't oock eenigen tijd daarna binnen gebragt en daarover een particuliere Reden met de zulthan gevoert heeft, d'omstandigheden van 't een en ander daar omtrent Refereren wij aan 't Rapport van opgem: Sr Caaf.",MONUMENT|RUIN,Tempel|vervallen,,,
ANN0010,paras_1103.txt,"Ed: dienaengaende met de Schepen toecomen sal, want te gemoet sie, dewijle onse Vlote apparent heel laet in Gambron verschijnen sal, weijnich Coopluijden bij den Bandar resten sullen, ofte door d'Engelsen ende Mooren die opden eersten merct comen, al versadicht ende voor ons weijnich sal te doene sijn, maer ingeval noch eenige Caffilaas (hoe laet d'Engelsen ende de mooren dit Jaer vertrocken sijn, evenwel gelijck wel meer gebeurt) met ijet dienstichs voor Parsia verschijnen mochten, sullen niet nalaten middel hebbende, s.Compe: meesten dienst ende voordeel te betrachten. - Het tarderen ofte t'laet verschijnen der Schepen valt ons int versorgen vanden last voornementlijck int fournieren van penningen seer beswaerlijck, maer t'verlicht ons daer en tegen veel de Vlote dese gepasseerde drije maenden geen provisien ofte vivres, en hebben te versorgen gehadt, want behalven dat het selve boven maten costelijcke soude geweest hebben, soo en wete naeuw waer soo veel mantemientos om gelt becomen hadden, ontrent de 40000 lb broodt ofte beschuijt hebben tegenvoor: dich gereet, ende maecke rekeninge noch ontrent halff soo veel te mogen vaerdich crijgen, voorts partije Terw ende niet meer dan 10 a 12 lasten Rijs, sonder eenige boonen ofte ijet anders bequaem tot potspijse, sal 't al wesen dat de Vlote sullen connen bijsetten, de terruw gelt tegenwoordich 170 mamondi de candi is tegen 850 mamondj t'last, den Rijs door dien niet te coop en is, en heeft geen prijs, maer soude graech 12 a 1400 - mamondi betaelt worden, derhalven aen Sr.",MONUMENT|ARTIFACT,candi|penningen,,,
