ref_id,tradition,date_ce,date_label,author,source_text,language,passage_summary,nusantara_relevance,independence_group,scholarly_consensus,n_entities
CHEM-001,CHEMICAL,-594,664-525 BCE,Rageot et al. 2023 (Nature 614),Saqqara embalming workshop vessels,n/a (chemical analysis),"GC-MS analysis of embalming vessels identifies dammar resin (Dipterocarpaceae, exclusively SE Asian) and elemi resin (Canarium sp., tropical Asia/Africa). Earliest physical evidence of Nusantaran commodity in Mediterranean context.",HIGH,chemical,CONSENSUS,3
CHEM-002,CHEMICAL,-1700,~1700 BCE,Buccellati (archaeological excavation),Terqa clove find,n/a (archaeobotanical),"Cloves (Syzygium aromaticum) identified at Terqa, Syria. Cloves are native EXCLUSIVELY to North Maluku islands. If confirmed, earliest known long-distance transport of exclusively Nusantaran product.",HIGH,chemical,CONTESTED,3
CHEM-003,CHEMICAL,-1050,~1500-600 BCE,Crowther et al. 2016 (PNAS 113); Fuller et al.,Austronesian crop package in South India/Sri Lanka,n/a (archaeobotanical),"Coconut, banana, taro, and sandalwood introduced to South India/Sri Lanka. Outrigger boat technology appears in Sri Lankan maritime tradition. Implies organized, recurring Austronesian maritime contact.",HIGH,chemical,CONSENSUS,4
CHEM-004,CHEMICAL,-1000,~1000 BCE,Multiple sources; van der Veen 2011,Cinnamon/cassia in Egyptian/Phoenician trade,n/a (archaeobotanical + textual),Cinnamomum verum (Sri Lanka) and C. cassia (South China/SE Asia) in Mediterranean trade. Egyptian texts mention ti-sps (cinnamon). Herodotus (5th c. BCE) describes cinnamon sourced from 'winged creatures' nests' in Arabia — classic intermediary obfuscation.,MEDIUM,chemical,PROBABLE,2
GRK-001,GREEK,-235,~276-195 BCE,Eratosthenes of Cyrene,Geographica (fragments via Strabo),Greek,Describes Chryse (Gold) island/promontory at eastern extremity of known world. Derived from Hellenistic merchant networks connected to Ptolemaic Egyptian trade. Implies Nusantara already prominent in Indian Ocean commerce.,HIGH,greco-roman,CONTESTED,2
GRK-002,GREEK,50,~40-55 CE,Anonymous merchant,Periplus Maris Erythraei,Greek,"Section 63: Chryse at 'the very end of the inhabitable world towards the east, lying directly under the rising sun itself.' Primary export: tortoiseshell. First-hand merchant knowledge of eastern Indian Ocean trading network.",HIGH,greco-roman,PROBABLE,3
GRK-003,ROMAN,150,~150 CE,Claudius Ptolemy,Geographia,Greek,"Maps Aurea Chersonesus (Golden Peninsula = Malay Peninsula), Iabadiu (= Java?), and Argyre (Silver City). Information from Marinus of Tyre (~100 CE), who cited sailor Alexander's firsthand visit to Aurea Chersonesus.",HIGH,greco-roman,PROBABLE,6
ROM-001,ROMAN,77,77 CE,Pliny the Elder,Naturalis Historia,Latin,"Book VI: describes Chryse and Argyre as islands in the eastern sea. Book XII: extensive discussion of aromatics trade including camphor, benzoin, and cinnamon sourced from eastern islands. Pliny laments Rome's gold drain to the East for these luxuries.",MEDIUM,greco-roman,PROBABLE,4
IND-001,INDIAN_PALI,-350,~4th century BCE compilation,Buddhist monastic compilers,"Jataka Tales (Supparaka, Baveru, Sankha Jatakas)",Pali,Multiple merchant voyage narratives to Suvarnabhumi ('Land of Gold'). Supparaka Jataka: navigation to eastern sea. Baveru Jataka: Babylonian trade connections. Literary narratives reflecting real knowledge of Indian Ocean routes.,HIGH,indian,CONTESTED,2
IND-002,INDIAN_PALI,-50,~100 BCE - 200 CE,Anonymous (Buddhist dialogue),Milinda Panha (Questions of King Milinda),Pali,Nagasena uses 'a merchant who has sailed to Suvarnabhumi' as a casual familiar example. No explanation of Suvarnabhumi = audience already knows. Implies routine commercial voyages.,HIGH,indian,PROBABLE,1
IND-003,INDIAN_PALI,400,~5th c CE (describing events from ~543 BCE),Mahanama,Mahavamsa (Great Chronicle of Sri Lanka),Pali,"Prince Vijaya legend + references to Suvarnabhumi as destination for merchants and adventurers. Sri Lankan chronicle placing Suvarnabhumi in eastern Indian Ocean, reachable by sea.",MEDIUM,indian,CONTESTED,1
IND-004,INDIAN_SANSKRIT,-350,~5th-4th century BCE (debated),Valmiki,"Ramayana, Kishkindha Kanda 4.40.30",Sanskrit,"Search party instructed to seek Sita on Yavadvipa ('Island of Barley/Millet'), described as rich in gold and silver, home to seven kingdoms. Yavadvipa = Java is near-universal scholarly identification.",HIGH,indian,PROBABLE,3
IND-005,INDIAN_SANSKRIT,-250,~300 BCE - 200 CE,Kautilya (Chanakya),Arthashastra,Sanskrit,References trade goods from dvipantara ('the other islands') including aromatic and forest products. Maritime trade treated as regulated economic activity requiring state oversight — implies established trade.,MEDIUM,indian,PROBABLE,2
IND-006,INDIAN_SANSKRIT,1286,1286 CE,Adityawarman,Padangroco Inscription,Sanskrit,Explicitly identifies Suvarnabhumi with Sumatra (Tanjungemas). Later Nusantaran source that CONFIRMS the Pali Suvarnabhumi = Sumatra identification retrospectively.,HIGH,nusantaran_epigraphy,CONSENSUS,2
CHN-001,CHINESE,80,111 CE (describing 2nd-1st c BCE conditions),Ban Gu,Hanshu (Book of Han),Classical Chinese,"Maritime routes from southern Chinese ports to Huang-zhi (= Kancipuram, South India) via islands in southern sea. Products: pearls, glass, exotic gemstones, aromatic woods. Route implies passage through/near Nusantaran archipelago.",MEDIUM,chinese,PROBABLE,3
CHN-002,CHINESE,264,~264 CE,Wan Chen (萬震),Nanzhou Yiwu Zhi (南州異物志),Classical Chinese,"Most detailed early Chinese description of k'un-lun po (崑崙舶): large sailing vessels >20 zhang (~48m) length, carrying 600-700 persons + cargo of 10,000 hu. Multi-masted with woven bamboo sails, capable of sailing against the wind. Describes Austronesian outrigger/lashed-lug construction tradition.",HIGH,chinese,CONSENSUS,4
CHN-003,CHINESE,239,~239 CE,Yu Huan (魚豢),Weilüe (魏略),Classical Chinese,Describes maritime trade route from Rinan (Vietnam) to Daqin (Roman Empire) via Southeast Asian waters. Mentions islands producing spices and aromatics. Earliest Chinese geographic framework placing Nusantara within global trade network.,MEDIUM,chinese,PROBABLE,3
CHN-004,CHINESE,260,~260 CE,Kang Tai (康泰),Funan Tuqi (扶南土俗),Classical Chinese,Account of Funan (Mekong Delta) including references to maritime networks extending to Indonesian archipelago. Kang Tai was an envoy who personally visited Funan. Fragments preserved in Taiping Yulan.,MEDIUM,chinese,PROBABLE,2
CHN-005,CHINESE,414,414 CE (voyage 399-414),Faxian (法顯),"Foguoji (佛國記, Record of Buddhist Kingdoms)",Classical Chinese,"Return from India via Ye-po-ti (耶婆提 = Java). Describes Brahmanical religion flourishing, Buddhism little practiced. Ye-po-ti requires no explanation = audience already knows what it is. Sailing time + wind direction data recorded.",HIGH,chinese,PROBABLE,2
CHN-006,CHINESE,636,636 CE (describing 502-557 CE),Yao Silian (姚思廉),"Liang Shu (梁書), ch. 54",Classical Chinese,"Chapter on Hainan zhuguo (海南諸國, Countries of the Southern Sea). First systematic Chinese dynastic account of Nusantaran polities including Heluo-dan (呵羅單, possibly Kalingga/Central Java) and other named kingdoms.",HIGH,chinese,PROBABLE,3
ARB-001,ARAB,851,851 CE,Attributed to Sulayman al-Tajir,Akhbar as-Sin wa l-Hind (Accounts of China and India),Arabic,"Earliest detailed Arabic account of maritime SE Asia. Describes Zabaj (= Java/Sumatra), its king, products (camphor, aloes, cloves, sandalwood), and maritime power. Zabaj ruler described as most powerful king of the islands.",HIGH,arab,CONSENSUS,4
ARB-002,ARAB,885,~885 CE,Ibn Khurdadhbeh,Kitab al-Masalik wa-l-Mamalik,Arabic,Fansur (Barus) identified as source of finest camphor in the world. Describes maritime route to Nusantara. Includes distance calculations between ports.,HIGH,arab,CONSENSUS,2
ARB-003,ARAB,943,~943 CE,al-Masudi,Muruj al-Dhahab (Meadows of Gold),Arabic,"Detailed description of Sumatra and Java including maritime trade, commodities, and political organization. Al-Masudi personally visited or received firsthand accounts. Describes the Maharaja of Zabaj controlling maritime trade.",HIGH,arab,CONSENSUS,4
LING-001,LINGUISTIC,-500,~500 BCE onwards,Historical linguistics (multiple scholars),Camphor etymology chain,Malay → Sanskrit → Arabic → Latin → French → English,kapur barus (Malay) → karpūra (Sanskrit) → kāfūr (Arabic) → camfora (Latin) → camphre (French) → camphor (English). Direction: Malay→Sanskrit (not reverse). Malay speakers were ORIGINAL SUPPLIERS. Single word encodes entire trade network history.,HIGH,linguistic,CONSENSUS,2
LING-002,LINGUISTIC,-300,~300 BCE onwards,Historical linguistics,Benzoin etymology,Malay → Arabic → Catalan → French → English,"luban jawi (Malay, 'Javanese frankincense') → lubān jāwī (Arabic) → benjuí → benzoin. Direction again: Malay→Arabic. The Arabic word for 'Javanese' (jāwī) preserved in European languages. Styrax benzoin is native to Sumatra.",HIGH,linguistic,CONSENSUS,2
NUS-001,NUSANTARAN,400,~400 CE,Mulavarman,Yupa inscriptions of Kutai,Sanskrit,Earliest known Nusantaran inscriptions. SOPHISTICATED Sanskrit composition — not a first attempt. Implies prior period of Sanskrit learning not represented in physical record. 'Gap' between Sanskrit knowledge and first inscription = potential taphonomic absence.,HIGH,nusantaran_epigraphy,CONSENSUS,2
NUS-002,NUSANTARAN,1365,1365 CE,Prapanca,Nagarakretagama,Old Javanese,"Uses Suvarnabhumi/Suvarnadvipa to refer to Sumatra. Confirms retroactive identification of Pali Suvarnabhumi with Sumatra, consistent with Padangroco inscription (1286).",HIGH,nusantaran_epigraphy,CONSENSUS,2
