category,date_range,site,location,lat,lon,evidence_type,description,implies,volcanic_zone,reference
Hominin,1700000-100000 BCE,Sangiran / Trinil,Central Java (Solo basin),-7.45,110.85,Fossils,"Homo erectus (Java Man) — Pithecanthropus erectus. Multiple crania, femora. Dated 1.7Ma-100ka. Found in volcanic tuff layers.",Long continuous occupation of Java. Volcanic sediments PRESERVE fossils at deep time but BURY recent ones.,Yes (Lawu/Solo basin volcanism),Dubois 1894; Swisher et al. 1994
Hominin,100000-40000 BCE,Song Terus cave,"Punung, East Java",-8.067,111.017,"Stone tools, faunal remains","Continuous occupation from ~100ka. Sophisticated bone tools (spatulas, points). Earliest shell beads in Island SEA.","Advanced tool-making, possible symbolic behavior. Cave sites survive; open-air sites from same period are absent.",Marginal (30km from Lawu),Sémah et al. 2004; Chazine & Zeitoun 2007
Hominin,45000-12000 BCE,Leang Bulu Sipong / Maros caves,South Sulawesi,-4.97,119.63,Cave paintings,World's oldest figurative art (45.5ka hunting scene). Hand stencils. Evidence of sophisticated symbolic culture.,Modern humans in Indonesia had complex symbolic systems >40ka before Indianization.,"No (karst, non-volcanic)",Aubert et al. 2019; Brumm et al. 2021
Neolithic,4000-2000 BCE,Austronesian expansion into Java,Java (general),-7.5,110.5,"Linguistic, comparative","Austronesian-speaking farmers arrive in Java ~4000-3000 BCE based on linguistic phylogenetics and comparative archaeology. Bring rice agriculture, pottery, pig/chicken domestication, outrigger canoe technology.",Settled agricultural communities in Java for ~4500 years before first inscription. Where are their settlements?,All zones,Bellwood 2017; Blust 2009
Neolithic,3500-2000 BCE,Kalumpang / Minanga Sipakko,West Sulawesi,-2.5,119.4,"Pottery, stone adzes",Early Austronesian settlement. Red-slipped pottery. Polished stone adzes. Rice remains.,Clear Neolithic presence in Sulawesi. Similar should exist in Java but has not been found at open-air sites.,No,Simanjuntak 2008
Neolithic,3000-1000 BCE,Kendeng Lembu,"Banyuwangi, East Java",-8.35,114.2,"Polished stone axes, pottery",Neolithic workshop site. Thousands of polished stone axes. Evidence of specialized craft production.,Organized community with craft specialization. Open-air site survived because it's in non-volcanic karst zone.,No (far from major volcanoes),Noerwidi 2014
Metal Age,500-100 BCE,Dong Son drums in Java,Multiple sites across Java,-7.5,110.0,"Bronze drums, axes","Vietnamese-origin bronze drums (Heger Type I) found across Java: Pekalongan (Randu Gunting), Semarang, Bali. Evidence of long-distance maritime trade networks.",Java was connected to mainland SEA bronze trade networks by 500 BCE. Communities must have had sufficient surplus and social organization for elite goods exchange.,Mixed,Bernet Kempers 1988
Metal Age,500 BCE-500 CE,Pasir Angin,"Bogor, West Java",-6.65,106.8,"Megalithic complex, pottery, metal","Large megalithic site with menhirs, terraced platforms. Pottery, bronze fragments. Continuous use from late prehistoric to early historic period.",Organized community with monumental construction capability BEFORE Indianization. Located in volcanic terrain (Salak volcano).,Yes (near Salak volcano),Sutayasa 1979
Metal Age,200 BCE-200 CE,Buni Complex,"North coast West Java (Buni, Bekasi, Karawang)",-6.15,107.15,"Pottery, glass beads, bronze",Distinctive pottery complex with paddle-impressed decoration. Indian rouletted ware sherds. Glass beads of Indian origin. Bronze objects. Evidence of maritime trade with India/South Asia.,Active MARITIME TRADE with India centuries before Indianization. Complex pottery tradition. Coastal site (low volcanic risk but subject to coastal change).,No (coastal plain),Walker & Santoso 1977; Manguin & Agustijanto 2012
Metal Age,200 BCE-300 CE,Sembiran / Pacung,North Bali,-8.15,115.35,"Indian rouletted ware, glass beads, iron","Earliest Indian trade goods in Indonesia. Indian rouletted ware identical to Arikamedu (Tamil Nadu). Glass beads, iron slag. Evidence of direct India-Bali maritime connection. Prehistoric burial site with grave goods.",DIRECT trade with India ~200 BCE. Not just passive recipients — Bali was actively connected to Indian Ocean networks. Pre-Hindu material culture was sophisticated enough to participate in international trade.,Yes (Agung/Batur ~30km),Ardika & Bellwood 1991; Calo et al. 2015
Metal Age,200 BCE-200 CE,Roman/Mediterranean finds in Indonesia,"Multiple sites (Java, Sumatra, Bali)",-7.0,110.0,"Coins, beads, glass","Roman coins found in Java (antoniniani, denarii). Mediterranean glass beads. Indicate Indonesia was part of global trade network connecting Rome-India-Southeast Asia.","Java was known to the Roman-era world. Trade infrastructure (ports, markets, intermediaries) must have existed.",Mixed,Manguin 2004; Calo 2014
Megalithic,2000 BCE-1500 CE,Gunung Padang,"Cianjur, West Java",-6.99,107.06,Megalithic terraced structure,"Massive terraced megalithic site with columnar basalt structures. Controversial dating (some claims of extreme antiquity, contested). Definite pre-Hindu megalithic tradition. Largest megalithic site in Southeast Asia.","Pre-Hindu monumental construction capability. Whether 10,000 or 2,000 years old, demonstrates sophisticated architectural tradition predating Indianization.",Yes (near Gede/Pangrango),Natawidjaja et al. 2018 (contested)
Megalithic,1000 BCE-present,Sumba megalithic tradition,"Sumba, NTT",-9.65,119.95,Living megalithic tradition,"Continuous megalithic tradition surviving to present day. Stone tombs, ancestor worship, elaborate mortuary ritual. Provides ethnographic analogue for pre-Hindu Java.",Megalithic traditions in Indonesia are NOT 'primitive' — they represent sophisticated social organization with complex ritual. Java's megalithic phase was comparable.,No,Adams 2007
Megalithic,500 BCE-500 CE,Cipari / Kuningan megalithic,"Kuningan, West Java",-6.95,108.48,"Menhirs, stone terraces, sarcophagi","Extensive megalithic complex. Stone terraces, menhirs, sarcophagi. Evidence of organized community with mortuary ritual.",Organized pre-Hindu communities in volcanic Java with monumental construction.,Yes (Ciremai volcano ~15km),Prasetyo 2015
External text,300 BCE-300 CE,Ramayana: Yavadvipa reference,India (describing Java),,,Sanskrit epic text,"Ramayana (Kiskindhakanda 40.30) mentions Yavadvipa ('island of barley/millet') as a known land with gold and silver mines, beyond the sea. The reference implies Java was known to Indian geographical tradition.",Java was known to Indian traders/scholars by name before the Common Era. The description of gold/silver mines suggests economic knowledge.,N/A,Wheatley 1961; Coedès 1968
External text,~150 CE,Ptolemy: Iabadiou,Alexandria (describing Java),,,Greek geographical text,"Ptolemy's Geography lists 'Iabadiou' (Yavadvipa/Java) as a large island rich in gold, with a trading port called 'Argyre' (Silver Town). Placed east of India.",Java was known to Greco-Roman geographical knowledge by 150 CE. The mention of a named TRADING PORT implies urban settlement and organized commerce.,N/A,"Ptolemy, Geography VII.2; Wheatley 1961"
External text,~70 CE,Pliny the Elder: Indonesia references,Rome (describing Indonesia),,,Roman encyclopedic text,"Pliny's Natural History (VI.54) mentions trade goods from the 'Eastern Islands' including spices (cloves, likely from Maluku), suggesting Roman-era knowledge of Indonesian trade networks.",Indonesian spice trade was reaching Rome by 1st century CE. This trade required sophisticated maritime networks across Indonesia.,N/A,"Pliny, Natural History VI.54; Miller 1969"
External text,~414 CE,Fa Xian: Ye-Po-Ti (Yavadvipa),China/Java,,,Chinese Buddhist pilgrim account,Chinese monk Fa Xian stopped at Ye-Po-Ti (identified as Java or Sumatra) during return voyage from India. Describes a land where 'Brahmanism flourishes but Buddhism has not yet reached.' Notes 'heretics and Brahmans.',"By ~414 CE, Java/Sumatra already had established Brahmanic religion. This was BEFORE the first inscriptions. Hindu culture was already present, just not yet producing inscriptions.",N/A,"Fa Xian, A Record of Buddhistic Kingdoms; Legge 1886 translation"
Linguistic,2000 BCE-500 CE,Pre-Indic substrate vocabulary,"Java (linguistic, not spatial)",,,Substrate vocabulary in Javanese/Balinese,"VOLCARCH E022-E029: Machine learning detection of pre-Austronesian substrate in Javanese (~29% non-Austronesian, non-Sanskrit vocabulary). Substrate concentrated in agriculture, body parts, kinship — domestic domains predating Indianization. Parallel independent substrate in multiple islands.","Pre-Indic Java had its own vocabulary for agriculture, kinship, and material culture — evidence of developed society with specialized domains.",N/A,"Amien & Gunawan 2026 (P8, under review)"
Linguistic,pre-500 CE,Pre-Hindu toponyms in Java,"Java (25,244 villages)",,,Place name analysis,"VOLCARCH E051: 57.7% of Java's village names are pre-Hindu (not Sanskrit, not Arabic). Madura reaches 70-91%. These names preserve pre-Indic landscape knowledge. Court-center model: Indianization radiates from Yogyakarta, fades in periphery.",The majority of Java's landscape was named BEFORE Indianization. Pre-Hindu communities had comprehensive geographic knowledge sufficient for systematic place-naming.,N/A,Amien 2026 (VOLCARCH E051)
Agricultural,3000-1000 BCE,Rice agriculture in Java,Java (general),-7.0,110.5,"Archaeobotanical, comparative","Wet rice agriculture established in Java by ~3000-2000 BCE based on comparative Austronesian evidence and pollen records. Irrigated rice requires organized water management, land tenure systems, and community cooperation.",Organized agrarian communities with water management infrastructure existed >3000 years before first inscriptions. The sawah system requires social organization comparable to early states.,All zones (volcanic soil ideal for rice),Bellwood 2017; Maloney 1996
