site_name,country,volcano,lat,lon,burial_depth_m,tephra_type,eruption_date,vei,discovery_method,survey_technique,estimated_cost_usd,key_reference,success_factors,notes
Ceren (Joya de Ceren),El Salvador,Laguna Caldera,13.824,-89.362,5-7,tephra_fall (wet TBJ-like),~590 CE,3-4,construction,"excavation, hand troweling","~500000 per hectare (site-level, estimated)",Sheets 1992; Sheets 2002; McKee 2002,Shallow wet ash sealed organic materials; chance discovery during bulldozing; Mesoamerican Pompeii — preserved daily life including plant remains and painted gourds,"UNESCO World Heritage. Discovery 1976 during construction of grain silos. 14 structures excavated. Extraordinary organic preservation due to moist tephra. Budget figure estimated from multi-decade NSF-funded excavation."
Akrotiri,Greece (Santorini),Thera (Santorini),36.352,25.403,2-40,pumice + pyroclastic surge,~1620 BCE (Minoan eruption),6-7,chance (quarrying),"excavation, trenching","~200000-500000 per season (site-level, estimated)","Doumas 1983; Marinatos 1968; Friedrich 2009; Manning et al. 2006",Deep pumice sealed multi-story buildings; systematic Greek excavation since 1967; local knowledge of ruins in quarry; good organic preservation under pumice,"Discovery 1867 during Suez Canal pumice quarrying. Marinatos began systematic excavation 1967. Upper floors preserved. Frescoes sealed by pumice. No human remains (population evacuated). 2-6m pumice layer, up to 40m total volcanic deposits."
Pompeii,Italy,Vesuvius,40.749,14.485,4-6,tephra_fall (lapilli) + ash,79 CE,5,chance (16th c. canal),excavation,"~2000000-5000000 annual (site-level, actual budget)",Sigurdsson et al. 1985; Allison 2004; Berry 2007,Systematic Italian state excavation since 1748; 4-6m pumice/ash sealed intact city; prior literary accounts (Pliny the Younger) guided search; tourism revenue funds ongoing work,"66 hectares total, ~45 hectares excavated. ~1150 human casts. Killed by surge/heat, not ash fall. Ongoing excavation and conservation. Most excavated ancient city."
Herculaneum,Italy,Vesuvius,40.806,14.348,15-25,pyroclastic_flow + surge,79 CE,5,chance (well digging 1709),"excavation, tunneling","~1000000-3000000 annual (site-level, estimated)","Maiuri 1958; Wallace-Hadrill 2011; Mastrolorenzo et al. 2001",Deeper burial preserved organic materials (wood/papyrus/food); pyroclastic flow sealed rather than collapsed buildings; boathouses contained 300+ skeletons proving no successful evacuation,"~5 hectares excavated of ~20 total. Buried 15-25m by pyroclastic flows. Harder to excavate than Pompeii due to depth and hardened tuff. Modern Ercolano built directly on top."
Cuicuilco,Mexico,Xitle,19.302,-99.18,6-10,lava_flow,~245 CE (debated; 100 BCE-400 CE),3,surface (pyramid tip visible),"excavation, trenching",unknown,Cummings 1923; Heizer & Bennyhoff 1958; Siebe 2000,Circular pyramid tip protruded above ~8m Pedregal lava flow; ceremonial center of 20000+ people; lava flow rather than tephra — harder to excavate but excellent preservation below,"Covered by Pedregal lava field. Lava 6-10m thick. Date debated — Siebe (2000) argues ~245 CE based on radiocarbon, earlier estimates placed it 100 BCE-600 CE. One of earliest urban centers in Valley of Mexico."
Kuk Swamp,Papua New Guinea,multiple (Highland volcanoes),5.783,144.333,0.3-2,tephra_fall (multiple layers),~7000 BP to recent,varies,agricultural drainage project,"excavation, coring, pollen analysis","~100000 total (site-level, estimated)","Golson 1977; Denham et al. 2003; Denham 2018",Tephra layers provided stratigraphic markers for agricultural phases; swamp environment preserved botanical evidence; drainage project exposed stratigraphy; UNESCO World Heritage,"Evidence for independent invention of agriculture ~7000 BP. Multiple tephra layers from Highland eruptions provide chronological markers. Tephra here is BENEFICIAL — aids dating rather than destroying evidence."
Angkor,Cambodia,none (not volcanic),13.412,103.866,0-2 (vegetation cover),none (not volcanic),N/A,N/A,remote_sensing,"LiDAR, GPR, excavation","~250000 for initial LiDAR survey (per campaign, actual)","Evans et al. 2013 PNAS; Evans 2016; Pottier 1999",LiDAR penetrated dense tropical canopy revealing urban grid extending 35+ km; prior aerial photography (Pottier) identified some features; large-scale systematic survey; included as non-volcanic comparandum for remote sensing method,"Not volcanic burial — included as methodological comparandum. LiDAR revealed settlement 10-50x larger than expected. Cost figure from KALC (Khmer Archaeology LiDAR Consortium) 2012 campaign. Directly relevant to tropical survey methodology."
Lake Ilopango TBJ,El Salvador,Ilopango,13.67,-89.05,0.5-5,tephra_fall + pyroclastic_flow (TBJ),~431 CE (Dull et al. 2019),5+,excavation + geological survey,"excavation, trenching, geological survey",unknown,"Dull et al. 2019; Sheets 1979; Pedrazzi et al. 2019",Massive regional tephra blanket; geological mapping identified deposit extent first; archaeological investigation followed; TBJ found across >100 km radius; linked to Maya Hiatus and population displacement,"Tierra Blanca Joven (TBJ) eruption devastated western El Salvador. 0.5m tephra at 70 km distance. VEI debated (5-6). Sheets (1979) linked to regional population displacement. Distinct from Ceren (different eruption, 160 years earlier)."
Armero,Colombia,Nevado del Ruiz,4.97,-74.88,2-5,lahar,1985 CE,3,post-disaster survey,"remote_sensing, excavation","~500000 (disaster response, not archaeological)",Voight 1990; Pierson et al. 1990; Naranjo et al. 1986,Modern event with full documentation; lahar traveled 60+ km and buried town to 2-5m; 23000 deaths; case study in volcanic hazard response failure,"Not archaeological in traditional sense — modern town destroyed. Included because lahar burial mechanism is identical to what E083 documents for Kelud 1919. Demonstrates how quickly settlements disappear under lahars."
Mt St Helens archaeological sites,USA,Mt St Helens,46.2,-122.18,0.15-1,tephra_fall + pyroclastic_flow,1980 CE,5,pre-eruption survey + post-eruption,"survey, excavation, tephra analysis","~200000 (research grants, estimated)","Mack 1983; Mullineaux 1986; Sarna-Wojcicki et al. 1981",Pre-eruption archaeological baseline existed (USFS surveys); tephra stratigraphy from multiple historic eruptions; controlled modern experiment in volcanic burial; Forest Service systematic survey,"Multiple pre-1980 eruptions left tephra layers useful for dating (set Y ~3500 BP, set P ~2500 BP, etc.). 1980 tephra reached 0.15-1m locally. Pre-eruption surveys meant baseline existed for comparison — rare controlled scenario."
