volume,year,paragraph_idx,page_est,category,subcategory,description,matched_text,captured_value,depth_m,cooccurrence,cooccurrence_count,context
OV_1912,1912,125,0,depth,el,X el diep,3 el diep,3,2.07,depth+material,2,"Bij onderzoek werden op 6^,3 el diepte aangetrotfen : a. het boven gedeelte eener Heseh, n. 1 . een goiideii hals en een rand van zilver, terwiji de door oxydatie vergane rest blijkbaar van brons is geweest. Er staat een on- ontcijferde iegende in XagarT-^chrift op. In het flesch"" je bevonden zicdi drie oiigeslepen robijntjes benevens fraginenten van gondblad (drie stnks) en gouddraad. h. een plaat van bladgoud van 22.1 bij 7 e.M., besehreven in Xagari-letters met mystieke syllaben en de namen d"
OV_1912,1912,318,0,depth,meter,diepte van X M,diepte van 2.50 M,2.50,2.5,depth+material,2,"Op de belling van den lieiivel vond ik stiikken roode baksteen; volgens oiiden van dagen nit de kaiupong had daiir vroeger een luissigit gestaau, ik liet de put iiitgraven in de meening, dat bierin nog wel iets ge\ondeu zoii kaimen worden, docdi trof op een diepte van 2.50 M. niets ander> aan dan modder en roode eii blauwe })otseherven : ook vond ik een kort cylindervormig voorwerp (le. M.). dat bij nadere besebouwiiig de ruggewervel van een vi.-cb bleek te zijn. met atgesneden vertakkingen en r"
OV_1912,1912,318,0,depth,meter,op een diepte van X,op een diepte van 2.50 M,2.50,2.5,depth+material,2,"Op de belling van den lieiivel vond ik stiikken roode baksteen; volgens oiiden van dagen nit de kaiupong had daiir vroeger een luissigit gestaau, ik liet de put iiitgraven in de meening, dat bierin nog wel iets ge\ondeu zoii kaimen worden, docdi trof op een diepte van 2.50 M. niets ander> aan dan modder en roode eii blauwe })otseherven : ook vond ik een kort cylindervormig voorwerp (le. M.). dat bij nadere besebouwiiig de ruggewervel van een vi.-cb bleek te zijn. met atgesneden vertakkingen en r"
OV_1914,1914,182,0,depth,meter,X.X M diep,3.50 M. diep,3.50,3.5,burial+depth+dimension+location+material+site,6,"In en nabij het oude Majnfjnhil had ik gelegenheid de eerste resultaten van de door den regent plants gehad beb- bende terreinonderzoekingen in oogenschouw te nemen, zoo in het bpzonder, behalve verschillende stukken muur (gedeel- telijk wel de oude ringniuur). te Pangf/ih, begraafplaats van Hayam Wuruk's moeder i). waar een baksteenfundament van + 9.50 M. breedte was aangetrofifen, met een trapuitsprong van 2.25 M. Daarbovenop lag, behalve 2 neuten. het reeds bekeude voetstuk met het jaartal 12"
OV_1914,1914,418,0,depth,meter,op een diepte van X,op een diepte van 2 M,2,2.0,,1,"Steeneii wigvormige beitel en puntbijl (batoe kilat of gigi oentoer), de eerste op een diepte van 2 M. in den grond evonden, beiden tbans in bet llusenm te Leiden. Lit."
OV_1914,1914,595,0,depth,vadem,X vadem diep,4 vadem diep,4,6.8,depth+material,2,"Nota van Gontroleur Bakker (1877), tbans in bet arcbief van bet Bat. Gen. De steenen van aebter de controleurs- vvoning zijn tot 4n a 50 e. M. groot en worden tbans op graven gebruikt. De potten lagen op 4 vadem diepte. Notnlen 1877 p. 44 sij. ^otulen 1870 p. 22 — 24 en 144. Xotnlen 1880 j). 97 en 112."
OV_1920,1920,535,0,depth,meter,diepte van X M,diepte van 4.28 M,4.28,4.28,depth+material+volcanic,3,Allereerst moest nu worden vastgesteld het verloop van den eigenlijken bodem van het oorspronkelijke plateau. Door den toenmaligen hoofd-ingenieur Jhr. Boreel werd welwillend personeel afgestaan voor de noodige afmetingen en peilingen. Hier- bij bleek dat van den Noordrand af de bodem zeer langzaam en gelijkmatig naar het midden afloopt tot men op een paar honderd meter ten zuiden van de Ardjoena- groep eene diepte heeft bereikt van 4.28 M. Nog 5 meter meer naar het Zuiden peilende bereikte men 
OV_1920,1920,536,0,depth,meter,diepte van X M,diepte van 4.28 M,4.28,4.28,depth+material+site,3,"Daardoor kwam men voor het dilemma te staan, 6f het moeras slechts tot een diepte te draineeren, waardoor de Ardjoenagroep en fundamenten aan den noordrand geheel droog zouden komen te liggen en waardoor een onderzoek naar het bestaan van fundamenten en andere restanten meer in het midden van de vlakte gelegen even onmogelijk zou blijven als tot nog toe het geval was, of op grond van meergenoemde hypothese het moeras tot een diepte van 4.28 M. te draineeren, waardoor dat onderzoek dan zou kunnen"
OV_1923,1923,455,0,depth,meter,X.X M diep,1.80 M. diep,1.80,1.8,burial+depth+site,3,"Tot het jaar 1907 verkeerden wij in de meening dat de Barabudur op elk zijner vier gevels een vijftal poorten telde. Bij de ontgraving, waarmede de herstel- lingsarbeid in genoemd jaar werd ingeleid, is evenwel ten duidelijkste gebleken dat elke gevel nog een zesde poort is rijk geweest. Van laatstgenoemde poorten is op elke face o.m. het topstuk der omlij sting, in de gedaante van een monumentalen kala-kop, uit den grond te voorschijn gekomen. Deze zesde poort was een uitvloeisel van de ombouwi"
OV_1923,1923,1613,356,depth,voet,X voet diep,16 voet diep,16,4.88,,1,Op de sawah van Tjokro een onbekapte steen waarin een rond gat ± 16 voet diep.
OV_1924,1924,133,0,depth,meter,op een diepte van X,op een diepte van 7 ,7,7.0,depth+material+volcanic,3,"Volgens mededeeling van den Assistant- Resident van Koeala Koepas werd omstreeks 1903 door den heer E. A. Hilckes bij het doen van mijnbouwkundige opsporingen op een diepte van 7 i 8 Meter, op een niet nader bekende plants tusschen Goenoeng Koepang en Karang Intan (onderafd. Martapoera) een beeldje van trachiet, hoog 34, breed 15 c.M. gevonden. Het beeldje waarvan op ons verzoek een foto vervaardigd werd, is blijkens de halve-maan-vormige uitsteeksels achter den hals een voorstelling van Manju^r"
