citekey,title,year,authors,subfield,relation,chronology_claim,method,quality,volcarch_use,note_type,file_path
jia_etal_2024,"Analysis of two glass eye (Jatim) beads unearthed from the Northern Wei tomb complex in Dongxin, Datong",2024,"Jia, Cui, Cao",01 Glass bead archaeometry,supports-CATHEDRAL,398-494 CE (Jatim bead deposition in China),"archaeometric (SEM-EDS, 3D microscopy, Corning)",Q1 Heritage Science (Nature),P0 §3.6 CATHEDRAL anchor; P1-core §2 framing; research statement v4.4 bridge,paper_note,01_glass_bead_archaeometry/jia_etal_2024_datong_jatim_beads.md
jia_etal_2025,"Northern Wei blue — Localized production of sodium calcium glass in Northern China from the 4th to the 6th century AD",2025,"Jia, Duan, Cui",01 Glass bead archaeometry (methodological caveat),ambiguous-nuances,398-494 CE local Chinese v-Na-Ca vessels,"archaeometric (SEM-EDS, typology)",Q1 JASREP,P0 §3.6 methodological footnote; v-Na-Ca ≠ Java alone caveat,paper_note,01_glass_bead_archaeometry/jia_etal_2025_northern_wei_blue_vessels.md
wang_etal_2021_guishan,"Glass beads from Guishan in Iron Age Taiwan — Inter-regional bead exchange between Taiwan, Southeast Asia and beyond",2021,"Wang, Li, Iizuka, Hsieh, Jackson",01 Glass bead archaeometry,supports,mid-1st millennium CE Taiwan bead exchange,"archaeometric (SEM-EDS, EPMA, LA-ICP-MS; n=64)",Q1 JASREP,P0 §3.6 supporting reference for multi-workshop SE Asia bead circulation,paper_note,01_glass_bead_archaeometry/wang_etal_2021_guishan_iron_age_taiwan.md
wang_etal_2023,"Glass ornaments from southwestern Taiwan: new light on maritime glass exchange",2023,"Wang, Dussubieux, Iizuka, Li, Tsang",01 Glass bead archaeometry,supports-strongly,1st-8th c. CE maritime glass network,"archaeometric (LA-ICP-MS, SEM-EDS; n=146)",Q1 Heritage Science (Nature),P0 §3.6 primary support; m-Na-Al ≠ Java-specific caveat; trans-Eurasian context,paper_note,01_glass_bead_archaeometry/wang_etal_2023_taiwan_maritime_glass.md
hoppal_etal_2023,"Southeast Asia and the Mediterranean World at the Turn of the First Millennium CE",2023,"Hoppál, Bellina, Dussubieux",02 Trans-Eurasian trade,supports,late centuries BCE - first centuries CE,"synthesis + LA-ICP-MS re-analysis",Q1 Cambridge Archaeological Journal,P0 §3.6 and §4 macro-network framing,paper_note,02_trans_eurasian_trade/hoppal_bellina_dussubieux_2023_se_asia_mediterranean.md
wolters_1967,"Early Indonesian Commerce — A Study of the Origins of Srivijaya",1967,"Wolters, O. W.",03 Chinese historical texts,supports-CATHEDRAL,"132 CE Ye-tiao embassy; 3rd-7th c. CE sequence",historical-textual (Chinese dynastic histories),Canonical monograph (Cornell UP),P0 §3.3 Channel 3 cathedral; §2.2 demographic plausibility; v4.4 historiographic supporting material,paper_note,03_chinese_historical_texts/wolters_1967_early_indonesian_commerce.md
ali_2011,"The Early Inscriptions of Indonesia and the Problem of the Sanskrit Cosmopolis",2011,"Ali, Daud",10 Indianization historiography,ambiguous-compatible,4th-7th c. CE early Nusantara inscriptions,historiographic + philological,Q1 edited volume (Cambridge/ISEAS),P0 §6 positioning; engages Pollock without dismissing,paper_note,10_indianization_historiography/ali_2011_inscriptions_sanskrit_cosmopolis.md
carlhoff_etal_2021,"Genome of a middle Holocene hunter-gatherer from Wallacea",2021,"Carlhoff et al.",05 Paleogenomics,supports,7.3 kyr BP Leang Panninge aDNA,aDNA (petrous bone shotgun sequencing),Q1 Nature,P0 §3.4 Genomic channel primary anchor; karst-vs-volcanic preservation differential,subfield_primary,05_paleogenomics/_SUBFIELD_SUMMARY_paleogenomics_session18.md
maulana_etal_2024,"227 West Javanese whole genomes (1.8M novel SNVs)",2024,"Maulana et al.",05 Paleogenomics,supports,Modern WGS revealing deep population history,WGS (n=227),Q1 Frontiers in Genetics,P0 §3.4 deep-history demographic support,subfield_primary,05_paleogenomics/_SUBFIELD_SUMMARY_paleogenomics_session18.md
subfield_06_pinatubo,"Pinatubo post-1991 sedimentation as Java analogue",2001-2015,"multiple (Rodolfo et al.)",06 Volcanic taphonomy global,supports,1991-2009+ sustained lahar aggradation,"sedimentological monitoring","Q1 various (Geology; Quaternary Int.)",P1-core §2.3 external analogue; P0 §3.1 Channel 1 reinforcement,subfield_summary,06_volcanic_taphonomy_global/_SUBFIELD_SUMMARY_volcanic_taphonomy_global_session18.md
