source,year_report,site_name,modern_name,location,regency,province,lat,lon,built_ce,found_year,burial_depth_m,depth_type,material,volcanic_system,volcano_dist_km,rate_mm_yr,condition,context,notes,ov_page
OV_1914,1914,Tjandi Tikoes,Candi Tikus,Trowulan / Badjangratoe,Mojokerto,East Java,-7.5617,112.3803,~1350,1914,3.5,measured,brick+stone,Arjuno-Welirang,18,6.2,buried,volcanic,"Excavated by Melville to 3.50m; brick platform on decorated base; top protruding, rest sunk into ground. Bathing complex.",57-58
OV_1914,1914,Inscribed stones Siman,Prasasti Siman,Desa Siman / Bogor Pradah,Kediri,East Java,-7.8167,112.0167,unknown,1914,1.5,estimated,inscribed stone,Kelud,15,,buried,volcanic,Two inscribed stones so deeply buried only roof-shaped tops visible; discovered by Van Stein Callenfels.,58-59
OV_1914,1914,Pangkih (Hayam Wuruk mother),Candi Pangkih,Pangkih / near Badjangratoe,Mojokerto,East Java,-7.55,112.4,~1372,1914,,,brick foundation,Arjuno-Welirang,18,,buried,volcanic,Brick foundation 9.50m wide with step projection 2.25m; footpiece with year 1294 Saka (=1372 CE). Majapahit era.,57
OV_1914,1914,Andjasmara,Candi Andjasmara,near Badjangratoe,Mojokerto,East Java,-7.55,112.4,~1452,1914,,,brick+stone+yoni,Arjuno-Welirang,18,,buried,volcanic,Modern cemetery on old building; brick foundation 10m with west-facing steps; year 1374 Saka stone found. Cemetery built atop temple.,57
OV_1914,1914,Wisnu Garuda Trawas,Arca Wisnu Belahan,Trawas / Belahan,Mojokerto,East Java,-7.6333,112.45,~1100,1847,,,stone statue,Arjuno-Welirang,8,,relocated,volcanic,Wisnu on Garuda found 1847 by Van Hoevell; moved to Modjokerto Museum inv.450. Originally from Belahan on Arjuno slopes.,58
OV_1919,1919,Buried temple Ponggoh (Kelut lahar),Candi Ponggoh,Desa Ponggoh,Blitar,East Java,-8.05,112.17,pre-1500,1919,2.0,estimated,brick monument,Kelud,12,,buried,volcanic,1919 Kelut lahar eroded riverbank exposing buried brick monument; part still underground; earlier lahars had damaged it. Primary source evidence of volcanic burial.,51
OV_1919,1919,Buried temple Soember Nanas (Kelut lahar),Candi Sumber Nanas,Desa Soember Nanas near Ponggoh,Blitar,East Java,-8.04,112.18,pre-1500,1919,2.0,estimated,brick+stone+Mahakala statue,Kelud,13,,buried,volcanic,Found as mound in lahar; covered by hardened mud and gravel layer; Mahakala statue; 'considerable part still underground'.,51-52
OV_1919,1919,Blitar Regent collection (destroyed by lahar),Koleksi Bupati Blitar,Blitar town,Blitar,East Java,-8.1,112.16,various,,,,stone statues,Kelud,20,,destroyed,volcanic,Nearly all statues from Regent's grounds swept away by 1919 Kelut lahar; ~30 recovered afterwards. Direct evidence of volcanic artifact destruction.,48
OV_1919,1919,Panataran (lahar near-miss),Candi Panataran,Panataran near Blitar,Blitar,East Java,-8.015,112.21,~1200-1400,,0,measured,stone temple complex,Kelud,15,0,intact,volcanic,1919 Kelut lahar passed just west of temple; small embankment prevented entry. Survivor bias control — shows how close volcanic destruction came.,47
OV_1919,1919,Kampud=Kelut identification (Nagarakrtagama),Kelud (historical),historical reference,Blitar,East Java,-7.93,112.31,1334 CE,,,,textual,Kelud,0,,,volcanic,Identified Kampud in Nagarakrtagama (1365 poem) as Kelut; first historical eruption 1334 CE (1256 Saka); lahars caused deaths. Key textual evidence.,11
