site_name,country,volcano,burial_depth_m,burial_type,eruption_date,discovery_date,discovery_method,excavation_depth_m,key_findings,reference,notes
Pompeii,Italy,Vesuvius,6.0,tephra/pyroclastic_surge,79 CE,1748,accidental discovery during construction,6.0,"Complete Roman city preserved under tephra. ~20000 inhabitants. Most famous volcanic burial site worldwide.","Sigurdsson et al. 1985 AJS","Benchmark site. 6 m average: 2.5 m tephra fall + 3.5 m pyroclastic surge."
Herculaneum,Italy,Vesuvius,25.0,pyroclastic_flow,79 CE,1709,well-digging,25.0,"Smaller city buried much deeper than Pompeii by pyroclastic flows. Preserved organic materials including wood and food.","Sigurdsson et al. 1985 AJS; Mastrolorenzo et al. 2001 Nature","20-25 m depth — only partially excavated. Demonstrates extreme burial depths possible."
Oplontis (Villa of Poppaea),Italy,Vesuvius,5.0,tephra/pyroclastic_surge,79 CE,1593 (rediscovered 1964),construction/excavation,5.0,"Roman villa with frescoes. Same eruption as Pompeii.","D'Ambrosio and De Carolis 1997","Similar depth to Pompeii."
Akrotiri,Greece,Thera/Santorini,30.0,tephra/pyroclastic_flow,~1620 BCE,1867,quarrying pumice,30.0,"Minoan settlement preserved under massive tephra deposit. Multi-story buildings. Often called 'Minoan Pompeii'.","Doumas 1983; Marinatos 1972","Up to 30+ m of tephra. Only ~3% excavated."
Cerén,El Salvador,Loma Caldera,5.0,tephra,~590 CE,1976,construction (bulldozer),5.0,"Maya village preserved under 5 m of tephra. 'Pompeii of the Americas'. Preserved garden beds and daily life.","Sheets 2002 Before the Volcano Erupted","UNESCO World Heritage. Unique preservation of commoner settlement. 14 structures excavated."
Armero,Colombia,Nevado del Ruiz,3.0,lahar/mudflow,1985,1985 (destroyed modern town),N/A,N/A,"Modern town destroyed by lahar. 23000 dead. Buried under 3+ m of lahars.","Pierson et al. 1990 JVGR","Modern disaster. Shows lahar burial can destroy and bury settlements instantly."
San Miguel Los Lotes,Guatemala,Fuego,1.5,pyroclastic_flow,2018,2018 (modern disaster),N/A,N/A,"Village buried by pyroclastic flow. ~200 dead. 1-3 m deposits.","Pardini et al. 2019 Nat Hazards Earth Syst Sci","Modern analogue for ancient volcanic burial events."
Sambisari,Indonesia,Merapi,6.5,lahar/tephra_accumulation,ongoing sedimentation,1966,farmer plowing field,6.5,"Hindu temple (9th century) buried 6.5 m under Merapi volcanic deposits. Primary VOLCARCH calibration site.","Tjahjono 1999 Berkala Arkeologi","Discovered by accident. Excavated by Balai Arkeologi. Shows cumulative burial over ~1000 years."
Kedulan,Indonesia,Merapi,4.0,lahar,ongoing sedimentation,1994,sand mining,4.0,"Hindu temple buried ~4 m under Merapi lahar deposits. Incomplete excavation.","Tjahjono 2001 Berkala Arkeologi","Discovered during sand mining. Only partially excavated. Demonstrates ongoing burial."
Liyangan,Indonesia,Sindoro,3.0,tephra/pyroclastic_flow,~900 CE,2008,sand mining,3.0+,"Mataram Kuno settlement (8th-10th century) buried by Sindoro eruption. Houses foundations and artifacts.","Siswanto 2011 Berkala Arkeologi; Riyanto 2014 Amerta","Most important buried settlement in Java. Multiple eruption layers. Ongoing excavation."
Kimpulan,Indonesia,Merapi,2.0,lahar/tephra_accumulation,ongoing sedimentation,2009,construction,2.0,"Small Hindu temple complex buried under Merapi deposits. Discovered during UII campus construction.","Lukas 2012 Archipel","Recent discovery. Shallow burial compared to Sambisari."
Prambanan Vishnu statue,Indonesia,Merapi,9.14,lahar/tephra_accumulation,ongoing sedimentation,1925,well-digging,9.14,"Silver Vishnu statue found at 9.14 m depth during well construction near Prambanan. Deepest documented find.","OV 1925 (colonial report); VOLCARCH E070","Deepest documented archaeological find in Java's volcanic zone. Evidence for extreme burial."
Trowulan (Majapahit capital),Indonesia,Arjuno-Welirang,2.5,tephra_accumulation/lahar,ongoing sedimentation,various (colonial era onward),colonial excavation + modern survey,2.5,"Capital of Majapahit Empire. Structures buried 1-3 m under volcanic deposits from Arjuno-Welirang system.","Pojoh 2007 BIPPA; Satari 1977 Berita Penelitian Arkeologi","Multiple excavation campaigns. GPR survey by Pojoh 2007. Ongoing urban development threatens site."
Dieng temples,Indonesia,Dieng Plateau,1.5,tephra/volcanic_mud,ongoing volcanic activity,colonial era,colonial clearing,1.5,"Hindu temples (7th-8th century) partially buried by volcanic deposits on active Dieng Plateau.","van Bemmelen 1949; various OV reports","Temples cleared in colonial period. Ongoing volcanic activity continues to deposit material."
Penataran,Indonesia,Kelud,0.5,tephra_fall (near miss),1919,pre-colonial,surface monument,0.5,"Largest Hindu temple complex in East Java. Survived 1919 Kelud lahar but received tephra fall. Not deeply buried but lahar came within 2 km.","OV 1919 (Bosch); VOLCARCH E083","Near-miss control case. Shows stochastic nature of volcanic destruction."
Borobudur,Indonesia,Merapi,partial (~1 m sides),tephra_accumulation/erosion,ongoing sedimentation,known throughout history,never fully buried,partial,"Monument partially buried by vegetation and volcanic debris over centuries. Major restoration 1907-1911 and 1975.","Soekmono 1976 UNESCO; Krom 1923","Not fully buried due to enormous size, but lower galleries were buried 1+ m."
Sora (Tambora),Indonesia,Tambora,3.0,pyroclastic_flow,1815,2004,archaeological excavation,3.0,"Settlement of Tambora kingdom destroyed by 1815 eruption. Called 'Pompeii of the East'. Carbonized remains.","Sigurdsson and Carey 2015; Oppenheimer 2003","Discovered by Sigurdsson expedition. Buried under 3+ m of pyroclastic deposits."
Perning/Mojokerto (Homo erectus),Indonesia,Arjuno-Welirang,~2.0,tephra_accumulation (deep time),~1.5 Ma,1936,geological survey,~2.0,"Homo erectus child skull. Volcanic matrix. Found in Pleistocene volcanic deposits.","Swisher et al. 1994 Science","Different time scale (Pleistocene) but same volcanic burial mechanism."
Jwalapuram,India,Toba (distal),~0.15,tephra_fall (distal),74000 BP,2003,archaeological excavation,multiple,"Middle Paleolithic tools found above and below Toba tephra layer ~15 cm thick. 2000+ km from source.","Petraglia et al. 2012 Science","Distal Toba impact. Archaeological continuity debated. Shows tephra fall at extreme distance."
Plymouth (Montserrat),Montserrat,Soufriere Hills,5.0,pyroclastic_flow/lahar,1995-1997,N/A (modern city),N/A,N/A,"Modern city abandoned and buried by ongoing eruption. 2/3 of island evacuated.","Wadge et al. 2014 Geol Soc London Mem","Modern analogue. City progressively buried over 2+ years."
Rabaul town,Papua New Guinea,Rabaul caldera,1.5,tephra_fall,1994,N/A (modern town),N/A,N/A,"Modern town partially buried by 1994 eruption tephra. Town abandoned and relocated.","Blong and McKee 1995 Disasters","Modern analogue. Shows rapid burial of urban area."
Chaiten town,Chile,Chaiten,2.0,lahar/tephra_fall,2008,N/A (modern town),N/A,N/A,"Modern town partially destroyed and buried by lahars and tephra during 2008 eruption.","Major and Lara 2013 Bull Volcanol","Modern analogue. Lahar burial dominated."
Nola (Bronze Age village),Italy,Vesuvius,2.0,tephra (Avellino eruption),~1800 BCE,2001,construction,2.0,"Bronze Age village preserved under Avellino eruption tephra. Hut impressions and footprints.","Mastrolorenzo et al. 2006 PNAS","Older than Pompeii. Same volcano. Shows repeated burial cycle."
Boscoreale,Italy,Vesuvius,4.0,tephra/pyroclastic_surge,79 CE,1876,agricultural work,4.0,"Roman villa with treasure. Same eruption as Pompeii.","Ward-Perkins and Claridge 1976","Slightly shallower than Pompeii center."
Stabiae,Italy,Vesuvius,5.0,tephra/pyroclastic_surge,79 CE,1749,Bourbon excavations,5.0,"Roman resort town. Pliny the Elder died here.","D'Orsi 1996","Same eruption sequence as Pompeii."
Cuicuilco,Mexico,Xitle,8.0,lava_flow,~245 CE,1922,archaeological excavation,8.0,"Pre-Aztec ceremonial center buried under 8 m of Xitle lava. Lava burial differs from tephra — preserves shape but destroys organics.","Heizer and Bennyhoff 1958; Siebe 2000","Lava burial — different preservation mechanism from tephra. Circular pyramid."
Catalhoyuk (partial),Turkey,Hasan Dagi (debated),0.0,tephra_fall (thin),~6600 BCE,1958,archaeological excavation,N/A,"Neolithic settlement. Volcanic imagery in murals. Thin tephra layer identified in stratigraphy but not buried by eruption.","Mellaart 1967; Schmitt et al. 2014","Debated volcanic connection. Thin tephra fall — not burial event."
San Salvador (Laguna Caldera),El Salvador,Laguna Caldera,1.5,tephra,~600 CE,1996,construction,1.5,"Pre-Columbian settlement buried by Laguna Caldera eruption. Contemporary with Cerén.","Sheets 2002","Less famous than Cerén but same time period."
Ahuachapan settlements,El Salvador,Santa Ana,1.0,tephra,~430 CE (TBJ eruption),various,excavation,1.0,"Multiple settlements buried by Tierra Blanca Joven tephra from Ilopango caldera.","Dull et al. 2001 Geology","Major regional impact. Depopulated western El Salvador for decades."
