volume,year,paragraph_idx,page_est,category,subcategory,description,matched_text,captured_value,depth_m,cooccurrence,cooccurrence_count,context
OV_1912,1912,1,0,volcanic,tephra,tephra/ash/tuff,ASCH,,,location+volcanic,2,BATAVIAASCH GENOOTSCHAP VAN KUNSTEN EN WETENSCHAPPEN ' WELTEVREDEN ] 'S HAGE ALBRECHT & Co M. NIJHOFF AL. 57^1 3i~ .U... CA.; : '^VSs’^OM I N H O U D Bladz.
OV_1912,1912,26,0,volcanic,tephra,tephra/ash/tuff,asch,,,location+volcanic,2,"Van de op verzoek van de Direetie van her Bataviaasch Genootscbap van Kunsten en W<‘tenseiiap})en naar bet Ond- beidkundig Bureau overgebraehte oudhtudkaiulige eiic-be’^ en foto’s van dat Genootscliap word eeii lij.-t saineiigesteld De verzauieliug toto's der Oudlieidkundige t’onunis>ie werd geheel geeontroleerd eu de out brek end, e exeinplaren werden door nieuwe atdrukken vervangeii. Ten slotte werden ouder- scdieiden proeven geuoinen met verschillende soorten papier en inkt-inenu’'^e]s tot be"
OV_1912,1912,38,0,volcanic,tephra,tephra/ash/tuff,asch,,,location+volcanic,2,"De eenige vondst. die ter in ij tier ken u is gebraclit werd, was die van een bescbreven steen. opgegraveu op het kof- ti eland Tjohdnujcn'h oiiderdistrict Poedak, district Poeloeng, afd. Poiiorogo, res. Madioen. Op niijn verzoek werd deze steen door den assisteiit-resident van Ponorogo opgezondeu naar het Museum van het Bataviaasch Geiiootr^chap. De steen draagt het jaartal 1472 eu in verbaiid daarmede ver- toont ook het schrift een laat en eenigzins verloopen ka- rakter. De in scrip tie, welke"
OV_1912,1912,40,0,volcanic,tephra,tephra/ash/tuff,asch,,,location+volcanic,2,"Rapport van 1911 wordt gepnblieeerd. Verder hield ik mij bezig met de inseripties uit de Padangsche Bovenlanden, in verb and met een aanstaande reis daarheen. Ten slotte werd de epigraphische nalatenschap van wijien Dr. Braudes onderzocht, naar aanleiding van de eventueele publieatie daarvan door het Bataviaasch Genootschap. § 9. Fotografieen,"
OV_1912,1912,54,0,volcanic,dieng,Dieng,Dieng,,,,1,"De Heer Melville zal eenigen tijd aan de werkzaamheden der Oudbeidkuiidige Conimissie onttrokkeu zijn ten behoeve van het ouderzoek in Pase (Gouv. BesL van 14 Maart 1912 No. 15). Indien hij in den loop van het volgende kwartaal teriig niocht keeren. zal hem worden opgedragen: P de nog slechts weinig tijM vonierende opnaine in de afd. Mo- djokerto te voltooien, 2^ met den reeds meermalen besproken arbeid op het Dieng-plateau een aanvang te inaken."
OV_1912,1912,58,0,volcanic,arjuno,Arjuno,Ardjoeno,,,location+site+volcanic,3,"Van de eerste gapura zijn de opstand en de doorsnedeu aangevangen en gedeeitelijk voltooid. Wanneer ook de tee^ keningen van de tweede gapura afgewerkt zijn, zal de vol- ledige lijst der teeken ingen van de pourten te Djedong in zijn geheel gegeven worden. B TJ L 1 G E C. Voorloopige Lijst van L O o s t= Kesideutie. Afdeeling. District. Desa. Eembung. Madioen. Magetan. Goraiig-gareiig. Sinibatan-wetaii. Kediri. Berbek. Aiidjoek. Tj an di-red jo. Berbek. Ngetos. Kediri. Modjoroto. Podjok. T? *T T"
OV_1912,1912,58,0,volcanic,ringgit,Ringgit,Ringgit,,,location+site+volcanic,3,"Van de eerste gapura zijn de opstand en de doorsnedeu aangevangen en gedeeitelijk voltooid. Wanneer ook de tee^ keningen van de tweede gapura afgewerkt zijn, zal de vol- ledige lijst der teeken ingen van de pourten te Djedong in zijn geheel gegeven worden. B TJ L 1 G E C. Voorloopige Lijst van L O o s t= Kesideutie. Afdeeling. District. Desa. Eembung. Madioen. Magetan. Goraiig-gareiig. Sinibatan-wetaii. Kediri. Berbek. Aiidjoek. Tj an di-red jo. Berbek. Ngetos. Kediri. Modjoroto. Podjok. T? *T T"
OV_1912,1912,115,0,volcanic,tephra,tephra/ash/tuff,asch,,,location+site+volcanic,3,"De gegerens. welke de samenstelling vau den liier volgeu- den inventaris loogelijk maakten, werden voor een groot deel verscliaft door den Heer L. C. AVestenenk, Assistent -Resi- dent ter bescbikking, te Fort de Koek. Nadat deze reeds in October 1911 een voorloopig overzicht der Hindoe-ondlieden van Sumatra's estkust gegeven had, opgenomen in de Xotulen van bet Bataviaasch Genootschap over dat jaar, p. 127-129. ontving ik gedurende mijn verblijf in de Pa- dangsche Bovenlanden nog een groot aanta"
OV_1912,1912,330,0,volcanic,dieng,Dieng,Dieng,,,location+site+volcanic,3,"Zeif bezocht ik in het afgeloopen kwartaal Jogjakarta en Magelang met het oog op de opheffing van het Museum in eerstgenoemde plaats; zie § 1 1. Ook deed ik een dienstreis naar Buiteuzorg voor een opname van den Batoe-toelis. De Heer Melville vertoefde gedurende dit kwartaal op het Dieng-plateau: zijn werkzaamheden worden vermeld in J; 4 en 5; 0. De Heer Sell bezocht, gelyk uit g 5 blijken kan, de reside II tie Banjoemas en een deel van Pekalongan ten behoeve van de oudheidkundige iuventarisatie"
OV_1912,1912,333,0,volcanic,dieng,Dieng,Dieng,,,location+site+volcanic,3,"De oudlieidkundige inventarisatie van de residentie Banjoe- mas had gednrende dit kwartaal plaats door den Heer Sell. Deze begon zijn werkzaamheden met de beschrijving der oiidheden, bewaard bij de pasanggrahan van den Dieng, welke uit den aard der zaak gedeeltelijk uit Banjoemas, gedeeltelijk uit Kedoe en Pekalongan afkomstig zijn; bij een geographisch op zich zelf staande eenheid als het Dieng- })lateau heeft het natuurlijk geeii zin aan de tegenwoordige residentiegrenzen vast te hoiiden. Yerv"
