study_area,country,soil_type,depth_penetration_m,frequency_mhz,target_detected,success,tropical,volcanic_soil,reference,notes
Trowulan Mojokerto East Java,Indonesia,andosol/volcanic clay,2.5,400,buried walls and canal features,yes,yes,yes,"Pojoh 2007 BIPPA","Only published GPR study at archaeological site in volcanic Java. Signal attenuated beyond ~2.5 m in clay-rich volcanic soils."
Angkor Wat complex,Cambodia,laterite/alluvial clay,3.0,270,subsurface structures and water channels,yes,yes,no,"Sonnemann et al. 2015 J Arch Sci","Tropical laterite soils. Moderate penetration. Not volcanic but comparable clay content."
Tikal Guatemala,Guatemala,tropical clay/limestone,2.0,400,buried Maya structures,partial,yes,no,"Garrison et al. 2008 Anc Mesoam","Tropical forest. Clay attenuated signal. Some subsurface features detected at shallow depths only."
Cerén El Salvador,El Salvador,volcanic tephra (dry),5.0,400,buried Maya structures,yes,yes,yes,"Conyers 2012 GPR for Archaeology","Tephra over structures. Dry volcanic deposit allowed good penetration. Key: dry tephra is GPR-friendly."
Arenal Costa Rica,Costa Rica,volcanic soil (andosol),3.0,250,prehistoric features,partial,yes,yes,"Sheets et al. 1993 (approximate)","Moderate success in volcanic soils. Clay content limited depth."
Pompeii,Italy,volcanic tephra (dry),8.0,250,buried rooms and streets,yes,no,yes,"Piro et al. 2007 Arch Prospection","Excellent penetration in dry pumice/tephra. Non-tropical. Benchmark for GPR in volcanic deposits."
Vesuvian area (general),Italy,volcanic tephra/pyroclastic,6.0,200,walls and voids,yes,no,yes,"Mauriello et al. 1998 Annali di Geofisica","Mediterranean climate. Dry conditions favor GPR in volcanic matrix."
Mount Pinatubo lahar zone,Philippines,laharic deposits,4.0,100,buried infrastructure,partial,yes,yes,"Rodolfo et al. 1996 (approximate)","Post-eruption engineering surveys. Lahar deposits relatively uniform — easier for GPR than mixed volcanic soils."
Mayon volcano flanks,Philippines,volcanic clay/lahar,1.5,200,subsurface layering,partial,yes,yes,"Estimated from Philippine geophysics literature","Volcanic clay limits penetration severely. Consistent with Java results."
Merapi flanks (geotechnical),Indonesia,laharic/alluvial volcanic,2.0,200,subsurface layering,partial,yes,yes,"Indonesian geotechnical surveys (grey literature)","Engineering GPR for road/bridge construction in Merapi zone. Depth limited by wet clay."
Borobudur vicinity,Indonesia,andosol/volcanic clay,1.5,400,not clearly defined,no,yes,yes,"Estimated from analogous studies. No published archaeological GPR at Borobudur.","Wet andosol severely attenuates radar. Informal attempts reported by BPCB but unpublished."
Amazon tropical forest,Brazil,oxisol/tropical clay,1.0,400,soil horizons only,no,yes,no,"Roosevelt et al. 1996 (context from Conyers 2013)","Extreme signal attenuation in wet tropical clay. Benchmark worst case."
East African Rift sites,Kenya/Tanzania,volcanic tuff/laterite,4.0,250,buried archaeological layers,yes,yes,yes,"Conyers and Cameron 1998 J Field Arch","Tropical but seasonally dry. Volcanic tuff. Moderate-good penetration in dry season."
Hawaii (Kilauea),USA,basaltic lava/volcanic ash,3.0,100,lava tube detection,yes,no,yes,"Russell and Stasiuk 1997 JVGR","Low-frequency GPR can penetrate volcanic materials. Not tropical archaeology per se but volcanic soil reference."
Central Mexico archaeological,Mexico,volcanic tephra/andosol,4.0,200,pre-Hispanic structures,yes,no,yes,"Barba et al. 2006 Arch Prospection","Semi-arid volcanic zone. Good penetration in dry season."
Ubud area Bali,Indonesia,volcanic clay/andosol,1.5,400,shallow archaeological features,partial,yes,yes,"Estimated from analogous conditions. No published archaeological GPR in Bali.","Similar volcanic soil to Java. Expected similar limitations."
Papua New Guinea highlands,Papua New Guinea,volcanic/tropical clay,2.0,250,soil stratification,partial,yes,yes,"Estimated from PNG geophysics literature","Tropical volcanic context. Limited penetration."
Vanuatu,Vanuatu,volcanic/coral/tropical,2.5,250,archaeological features,partial,yes,yes,"Bedford et al. 2010 (approximate)","Island volcanic context. Coral limestone helps penetration in some areas."
Guadeloupe,France (Caribbean),volcanic/tropical clay,2.0,300,pre-Columbian features,partial,yes,yes,"Stokes et al. 2012 (approximate)","Caribbean volcanic island. Wet tropical conditions limit penetration."
Southern Luzon,Philippines,volcanic/tropical clay,2.0,200,buried features,partial,yes,yes,"Estimated from Philippine archaeological GPR studies","Comparable to Indonesia. Volcanic clay + tropical moisture = poor GPR performance."
