source,year_report,site_name,location,regency,province,lat,lon,built_ce,found_year,burial_depth_m,material,volcanic_system,rate_mm_yr,notes,ov_page
OV_1914,1914,Tjandi Tikoes,Trowulan/Badjangratoe,Mojokerto,East Java,-7.5617,112.3803,~1350,1914,3.50,brick+stone,Arjuno-Welirang/Kelud,~5.8,Excavated by Melville to 3.50m; brick platform on decorated base; top protruding above ground; rest sunk into ground,57-58
OV_1914,1914,Inscribed stones Siman,Desa Siman Bogor Pradah,Kediri,East Java,-7.8167,112.0167,unknown,1914,>1.5_est,inscribed stone,Kelud,unknown,Two inscribed stones so deeply buried only roof-shaped tops visible; discovered by Van Stein Callenfels,58-59
OV_1914,1914,Pangkih (Hayam Wuruk mother),Pangkih,Mojokerto,East Java,-7.55,112.40,~1350,1914,unknown,brick foundation 9.50m wide,Arjuno-Welirang,unknown,Brick foundation with step projection 2.25m; footpiece with year 1294 Saka (=1372 CE),57
OV_1914,1914,Andjasmara,near Badjangratoe,Mojokerto,East Java,-7.55,112.40,~1374_saka,1914,unknown,brick+stone+yoni,Arjuno-Welirang,unknown,Modern cemetery on old building; brick foundation 10m with west-facing steps; year 1374 Saka stone found,57
OV_1914,1914,Wisnu Garuda Trawas,Trawas/Belahan,Mojokerto,East Java,-7.6333,112.4500,~1100,1847,unknown,stone statue,Arjuno-Welirang,unknown,Wisnu on Garuda found 1847 by Van Hoevell; moved to Modjokerto Museum inv.450,58
OV_1919,1919,Buried temple Ponggoh (Kelut lahar),Desa Ponggoh,Blitar,East Java,-8.05,112.17,pre-1500,1919,>2_est,brick monument,Kelud,unknown,"Lahar of May 19-20 1919 eroded riverbank exposing buried brick monument; part of monument still underground; earlier lahars had damaged it",51
OV_1919,1919,Buried temple Soember Nanas (Kelut lahar),Desa Soember Nanas near Ponggoh,Blitar,East Java,-8.04,112.18,pre-1500,1919,>2_est,brick+stone+Mahakala statue,Kelud,unknown,"Found as mound in lahar; covered by hardened mud and gravel layer; Mahakala statue; 'considerable part still underground'",51-52
OV_1919,1919,Blitar Regent collection (destroyed by lahar),Blitar town,Blitar,East Java,-8.10,112.16,various,pre-1919,0,stone statues,Kelud,N/A,"Nearly all statues from Regent's grounds swept away by 1919 Kelut lahar; ~30 recovered afterwards",48
OV_1919,1919,Panataran (lahar near-miss),Panataran near Blitar,Blitar,East Java,-8.015,112.21,~1200-1400,1919,0,stone temple complex,Kelud,N/A,"1919 Kelut lahar passed just west of temple; small embankment prevented entry; all nearby candis survived",47
OV_1919,1919,Kampud=Kelut identification (Nagarakrtagama),historical reference,Blitar,East Java,-7.93,112.31,1334_CE,medieval,N/A,textual,Kelud,N/A,"Identified Kampud volcano in Nagarakrtagama (1365 poem) as Kelut; first historical eruption 1334 CE (1256 Saka); lahars caused deaths described in text",11
OV_1920,1920,Submerged city at lake,unknown lake site,unknown,Java,unknown,unknown,unknown,1920,4.28,settlement remains,unknown,unknown,"Drainage to 4.28M needed to expose entire buried city/settlement; site at a lake; 'de geheele stad te voorschijn te brengen'",84
OV_1929,1929,Candi with sunken yoni,unknown,unknown,Java,unknown,unknown,unknown,1929,2.50_shaft,stone+yoni+urns,unknown,unknown,"Temple pit 1.90x1.90m 2.50m deep; yoni sank gradually with layers; two urns at 0.50 and 1.00m depth",unknown
