volume,year,match_type,match_desc,match_text,depth_m,depth_unit,site_name,has_site,has_volcanic,location,sites_nearby,volcanic_nearby,locations_nearby,page_est,context
OV_1912,1912,volcanic_arch_tephra,Volcanic+archaeological: tephra/ash/tuff,ASCH,,,monumenten,True,True,,monumenten,ASCH,,1,"GOVERNMENT OF INDIA  ARCHAEOLOGICAL SURVEY OF INDIA   archaeological   LIBRARY    ACCESSION NO.   CALL No. 9t5 9 1 Q5/0.V    D.G.A. 79          i ’ * -   . /, ‘ , . - ■   OUDHEIDKUNDIGE DIENST   r   IN   if NEDERLANDSCH-INDifi   J ^   OUDHEIDKUNDIG VERSLAG   1912    UITGEGEVEN DOOR HEX ■ ■ ' ' ""   BATAVIAASCH GENOOTSCHAP VAN  KUNSTEN EN WETENSCHAPPEN '     WELTEVREDEN ] 'S HAGE    ALBRECHT & Co M. NIJHOFF        AL.    57^1 3i~   .U...   CA.; : '^VSs’^OM     I N H O U D    Bladz.    Oudheidkundig Verslag over het eerstc kwartaal 1912 . . . . 1   Bijlage A. Lijst der fotografische opnamen 10   Bijlage B, Stand van het teekenwerk 13   Bijlage C. Voorloopige lijst van monumenten. I Oost Java . . H   Oudheidkundig Verslag over het tu’eede kwartaal 1912. . . . 21   Bijlage D. Lijst der fotograf"
OV_1912,1912,volcanic_arch_tephra,Volcanic+archaeological: tephra/ash/tuff,asch,,,tempels,True,True,,tempels,asch,,5,". Epigraphie.   Mpn epigraphische werkzaaniheden l>estonden voorname-  lijk in de bestiideering van de oorkonden van Krtanagara,  waarvan er een, die van 1188. in het Oudheidkundm   o   Rapport van 1911 wordt gepnblieeerd. Verder hield ik mij  bezig met de inseripties uit de Padangsche Bovenlanden,  in verb and met een aanstaande reis daarheen. Ten slotte  werd de epigraphische nalatenschap van wijien Dr. Braudes  onderzocht, naar aanleiding van de eventueele publieatie  daarvan door het Bataviaasch Genootschap.   § 9. Fotografieen,   Bij dit verslag worden 58 ahiruklvcn aangeboden. waarvan  men de lijst vindt in Bijlage A. De opnamen zijn alle van     7    den Heer Melville en betretfen respectievelgk de poorten  eii tempels van Djedong, Bangkal, Kesimau-tengah, Rimbi,  Goenoeiig-tTangsir"
OV_1912,1912,volcanic_arch_v_ringgit,Volcanic+archaeological: Ringgit,Ringgit,,,Tjandi Pasetran,True,True,,Tjandi Pasetran,Ringgit,,8,"par^ar.   ?!^oerabaja.   ^MuJjokerto.   Modjukerto.   Moeteran.      •Sen tana-red jo.     ,,   Temon.    -   Modjosari.   Djedong.   *7      Bangkal.     Djaboeng.   Biting.   ..     Kesiman-tengab.    Sido-ardjo,   Kau'apoei.'e I.   Tjandi-Pari.   ,,   1 *   Gcdaiigaii.   Boentjittan-tani.     Ki'ian.   Tjainli-Denna.   Madoera.   Pam ek a sail.   Pamckasan.   Proppo.   Pasoeroeluxn.   Baiigil.   Gempol.   Kebon-tjandi.      AVonosonjo.   -    Paiidaiin.   Tjandi-redjo.   7'     toj) Ooenoeng Ringgit.   77    Poerwnredjo.   pertapan Rahtaoe.   77   Malang.   An tang.   Botjok.   •7    Penanggnengan.   Sanggariti.    ?•    Gading-koelon.   M   *1   7*   PukiH.   T< >e 111 pang.     i   1   Kidal.        17      Monnmeut.    Tjainli Kinibi.   l^app.    ]\n   (nipoera bij liet ^rat van    M"
OV_1912,1912,volcanic_arch_v_arjuno,Volcanic+archaeological: Arjuno,Ardjoeno,,,Tjandi Singasari,True,True,,Tjandi Singasari; Tjandi Kedaton; Tjandi Retja; tempel; Monument,Ardjoeno,,9,"ie.   Afdeeling,   Distidet.   Desa.   Pasoeroehan.   BaiigiL   Karan glo.   Singasari.    77   Senggasara.   Kalanglo.   Soember-Poetjoeng.   '7   KraksaUn,   Kraksailii.   Djaboeng'tjaiidi.    7 '   Gading.   • 7   Andoeiig-biroe.   Besoeki.   Dj ember.   Dj ember.   Krandjingan.   77   •7   Poeger.   Meiiampoeh.    19    Monument.   Opname,   Laatsfce eontrOle.   Tjandi Singasari.   monogralie van 19<)9.   1910.   Kawi-miiur.   Rapp. 1902 p. 3()0 ^q.   1902.   Tjaudi’s op den (ioeuoeng     : Ardjoeno.   niet opgenomen.   Verbeek p. 301.   Tjaiidi Djaboeng met bij-     tempel.   Rapp. 1903 p. 107 sq.   1910.   Tjandi Kedaton.   Rapp. 1904 p- 113 >qq.   1904.   , Tjandi’s op den Goenoeng |     \ Argapoera.   niet opgenomen.   Verbeek p. o20 ?q.   Kedaton.   Rapp. 1904 p. 135 sq.   1904.  "
OV_1912,1912,depth_el,X el diep,3 el diep,2.07,el,,False,False,,,,,17,"erk in den vorni van een paralle-   lopipedum, metende 7^ ^ bij 4^ ^ hoogte van   4 el. Volgens de berichten zou ..deze oudheid bestaan  hebben nit een hooge toren in den vorm van een ge-  knotte naald. gelijkvloers voorzien van 2 kamers’* (brief  van den Gouverneur van Sumatra’s Westknst aan de  Directie van het Bataviaascli Genootsc-hap, d. d. 6 Ja-  nuari 1865 Xo. 70). Er voor lag een soort terras.  Het is het overbljifsel van een stupa en draagt den  naam biaro.   Bij onderzoek werden op 6^,3 el diepte aangetrotfen :  a. het boven gedeelte eener Heseh, n. 1 . een goiideii hals en  een rand van zilver, terwiji de door oxydatie vergane  rest blijkbaar van brons is geweest. Er staat een on-  ontcijferde iegende in XagarT-^chrift op. In het flesch""  je bevonden zicdi drie oiigeslepen robij"
OV_1912,1912,exposed,exposed/uncovered,blootgelegd,,,,False,False,,,,,24,"esehreven. Toeii ik over inetn* werkvidk  koii be-^cdiikken. ben ik ook aan den \^ e^tkant van het  complex beginiien te graven : ook hier waren alle graPtee-  iien oiibesehreven op tvree lange vierkante zmltie^ na, oni  elk waar van een boom gegroeid was. Ik heb dan ook beide  boomeii lateii happen : aan dew voet van elk dier zuiltjes  kwam toen in de rondte loopend lettersehrift te voorschpn.  Ook voiid ik onder diezelfde boomen bij het verwijderen  der worteL nog twee lange grtiven. De beide blootgelegde  complexen liggen 0.4d M. lager dan het vor-rencomplex.   Op het vorstencoinplex zelf stoml een mangaboom, die  door zijn reusaehtige wortels de graven, die in de nabijheid     54    lageu, uit him verband rukte. Dezen boom liet ik met worteis  en al verwijderen, waarbij ik in den grond"
OV_1912,1912,depth_m,diepte van X.X M,diepte van 2.50 M,2.5,meter,,False,False,,,,,33,"van de graven een    71    vierkant plat afgeknotte lieiivel te beviudeii, + 2 M. hoog,  aan welks Zuid-Oost hoek een pat werd aaTigetroffen, waarvaii  de binneiizijde was bekleed met gruote langwerpig vierkante  steeiieu (zandsteen).   Op de belling van den lieiivel vond ik stiikken roode  baksteen; volgens oiiden van dagen nit de kaiupong had daiir  vroeger een luissigit gestaau, ik liet de put iiitgraven in  de meening, dat bierin nog wel iets ge\ondeu zoii kaimen  worden, docdi trof op een diepte van 2.50 M. niets ander>  aan dan modder en roode eii blauwe })otseherven : ook vond  ik een kort cylindervormig voorwerp (le. M.). dat bij nadere  besebouwiiig de ruggewervel van een vi.-cb bleek te zijn.  met atgesneden vertakkingen en rond bijgewerkt, daania  waarricbijnlijk gebruikt ab uor"
OV_1912,1912,exposed,exposed/uncovered,Blootgelegd,,,fundamenten,True,False,residentie Behalonijan,fundamenten; fundament; opgravingen,,residentie Behalonijan,35,"or.   In den loop van December werd een begin gemaakt met  de inventarisatie van de residentie Behalonijan. welke nog  voortduurt en waarvan mi] nog geeii resultaten bekend zijn.   De door den Heer Sell verzamelde gegevens zullen op  de gewoiie wijze worden gepubliceerd.   § 6. Nieuwe opnamen. opgravingen, enz.   Ook deze hadden uitsluitend plaats op het Bieny-plalraa,  De werkzaamheden zijn in het kort, zonder rekening te houden  met de volgorde van tijd, waarin zij geschiedden, de volgende:   Blootgelegd werden de fundamenten 1. 2, 3. 4, 5. S en  25-30 (numniers van de oudheidkundige kaart van Pet en  iMyer) en de beide bij de Ardjoena-groep gelegene. De  laatste en de vier eerst genoemde werden ook reeiis opgemeten  en gedeeltelijk in teekeiiing gebracht, welk werk van 2, 3 en  4 gereed"
OV_1912,1912,volcanic_arch_tephra,Volcanic+archaeological: tephra/ash/tuff,asch,,,tempels,True,True,,tempels; tempels; inscriptie,asch,,36,"en dragen een Kawi-inscriptie, het vierde be vat den  godeiinaam Yisnu. Het i< voor het eerst, dat een dergelijke  vondst bij een der Dieng-tempels gedaan is, hoewel reeds  enkele plaatjes bekend wareu, waarschijnlijk uit die bnurt         77    afkonistig: het zai daarom geen betoog behoeveu. hoe hoogst  belangrijk het is, dat thaiis tusscheii den bouw van een dier  tempels eu de schriftsoort van deze plaatjes authentiek ver-  baud gelegd kan wordeii. De plaatjes -wordeu bewaard in  het Bataviaasch Museum (inv. 5204).   Nog verdient veruiehling, naar aanleidiog van de op pag.   08 van het vorig verslag aaiigegeven vooidoopige sehikking  omtrent de vondsten in Base, dat thans detinitiet' bepaald  is, dat van deze vondsten door de Direetie van het Bata-  viaaseh Beuootsehap aaiigewezen zal "
OV_1912,1912,volcanic_arch_lava,Volcanic+archaeological: lava,lava,,,tempel,True,True,,tempel; tempel; tempel; tempel; beeld van Par,lava,,46,"an Jhavericand.   222   id.   2071    -   Motishah Tuk, algemeen ge-  zicht   223   id.   2072      224   id.   2073    ..   id.. Zuidelijke gaanderij.   225   i<l.   2074   n   -   id., Motishah tempel.   220   id.   2075   n   1   -   id., tempel Z. \V. vau Mo-  tlshah-tempel.   227   id,   2078   -   -   i id., tern pels buiteu de^Iotishah  Tuk.   228   id.   2080     Xaudlevara Dvipa, van binnen.   229   : id.   2081   ’J    id., zuilen van de gaanderij.   230   id.   2082    -   Pafica Painlava-tempel, alge-  ! meeu gezicht.   231   id.   2083   n 1    id., benedenstuk.   232   id.   2084   1   -   id., altaar met 1008 beelden,  eracliter.   233 1   j i   id.   2085   -   i   Uatiuicand Jaubareund’s tem-  pel.    j    I     100    Volg- 1  num- I  mer. |   1   No. Br.-Indie.   Staat o"
