eruption_id,volcano_name,eruption_year,eruption_vei,eruption_type,affected_site_id,site_name,site_lat,site_lon,site_distance_km,effect_type,burial_depth_m,evidence_source,evidence_quality
TOBA-74KA,Toba,-74000,8,caldera_collapse,TAC-001,Kota Tampan (sealed under Toba ash),4.5,101.0,314.6,buried,,Petraglia et al. 2012; Westaway et al. 2007,primary
TOBA-74KA,Toba,-74000,8,caldera_collapse,TAC-002,"Lida Ajer (Sumatra, within Toba fallout zone)",-0.5,100.65,407.4,tephra_fall,,Westaway et al. 2017; inferred from proximity,inferred
KELUD-1919,Kelud,1919,4,explosive_lahar,TAC-003,Candi Ponggoh,-8.05,112.17,20.4,buried,2.0,OV 1919 p.51,primary
KELUD-1919,Kelud,1919,4,explosive_lahar,TAC-004,Candi Sumber Nanas,-8.04,112.18,18.8,buried,2.0,OV 1919 p.51-52,primary
KELUD-1919,Kelud,1919,4,explosive_lahar,TAC-005,Blitar Regent collection (statues swept away),-8.1,112.16,25.1,destroyed,,OV 1919 p.48,primary
KELUD-1919,Kelud,1919,4,explosive_lahar,TAC-006,Panataran (lahar near-miss),-8.015,112.21,14.5,near_miss,0,OV 1919 p.47,primary
KELUD-1919,Kelud,1919,4,explosive_lahar,TAC-007,Candi Wringin Branjang,-8.02,112.18,17.5,near_miss,0,OV 1919 p.47,primary
KELUD-1919,Kelud,1919,4,explosive_lahar,TAC-008,Candi Kotes,-8.02,112.18,17.5,near_miss,0,OV 1919 p.47,primary
KELUD-1919,Kelud,1919,4,explosive_lahar,TAC-009,Candi Sawentar,-8.02,112.18,17.5,near_miss,0,OV 1919 p.47,primary
KELUD-1334,Kelud,1334,,historical_lahar,TAC-010,Kampud/Kelut settlements (Nagarakretagama),-7.93,112.31,0.0,lahar_affected,,OV 1919 p.11 citing Nagarakretagama 1365,secondary
MERAPI-ONGOING,Merapi,ongoing,,ongoing_sedimentation,TAC-011,Prambanan 4th row temples (buried underground),-7.752,110.491,24.2,buried,,OV 1920 p.87,primary
MERAPI-ONGOING,Merapi,ongoing,,ongoing_sedimentation,TAC-012,Candi Kalasan (below groundwater from lahar hydrology),-7.767,110.472,25.5,indirect,,OV 1929 p.29,primary
MERAPI-ONGOING,Merapi,ongoing,,ongoing_sedimentation,TAC-013,"Borobudur (buried under volcanic ash, rediscovered 1814)",-7.608,110.204,27.1,buried,,Raffles 1817; Soekmono 1976,primary
MERAPI-ONGOING,Merapi,ongoing,,ongoing_sedimentation,TAC-014,Sambisari (buried 6.5m under Merapi deposits),-7.752,110.441,23.6,buried,6.5,Tjahjono 1999; discovered 1966,primary
MERAPI-ONGOING,Merapi,ongoing,,ongoing_sedimentation,TAC-015,"Kedulan (buried 5-7m, discovered 1993 sand mining)",-7.72,110.464,20.2,buried,6.0,Anom et al. 1993; Tjahjono 1999,primary
MERAPI-ONGOING,Merapi,ongoing,,ongoing_sedimentation,TAC-016,Candi Selan (buried 1.2m below terrain),-7.48,110.21,26.2,buried,1.2,OV 1914 p.57,primary
MERAPI-ONGOING,Merapi,ongoing,,ongoing_sedimentation,TAC-017,Candi Candirejo (buried 0.7m below maaiveld),-7.5,110.22,24.7,buried,0.7,OV 1914 p.57,primary
MERAPI-ONGOING,Merapi,ongoing,,ongoing_sedimentation,TAC-018,Prambanan Vishnu statue (found 9.14m depth),-7.752,110.491,24.2,buried,9.14,OV 1925 p.62,primary
