title,date,identifier,relevance,tags,text_length,n_depths,depths_m,depth_contexts,locations,primary_lat,primary_lon
Opgravingen op Santorini Een Grieks Pompei uit de bronstijd,1976/01/02,http://resolver.kb.nl/resolve?urn=KBNRC01:000025337:mpeg21:a0131:ocr,8,ARCHAEOLOGY; METAL; PREHISTORIC,11142,0,,,Solo,-7.57,110.82
"PRAEHISTORISCHE OUDHEDEN IN OOST-JAVA Megalithen te Pakaoeman, bij Bondowoso",1942/01/03,http://resolver.kb.nl/resolve?urn=ddd:011176503:mpeg21:a0028:ocr,7,ARCHAEOLOGY; PREHISTORIC; JAVA,980,0,,,Bondowoso,-7.91,113.82
"PRAEHISTORISCHE OUDHEDEN IN OOST-JAVA. (Van onzen redacteur te Batavia.) Megalithen te Pakaoeman, bij Bondowoso.",1941/12/20,http://resolver.kb.nl/resolve?urn=ddd:011176670:mpeg21:a0057:ocr,7,ARCHAEOLOGY; PREHISTORIC; JAVA,1122,0,,,Batavia; Bondowoso,-6.17,106.83
OP REIS. Indrukken en Potloodschetsen. VII. INHOUD: Prambanan.— Een ellendige halte.- Vluchtig bezoek aan de tjandis.- De oudheidkundige vereeniging te Djokja.— Wakkere mannen.- Geen geld en geen regeeringshulp.- De tjandi sewoe. – Oude Hindoes en nieuwerwetsche Javanen.— Een Indische antiquaar en zijn rommelzôo.,1887/11/16,http://resolver.kb.nl/resolve?urn=ddd:110613996:mpeg21:a0037:ocr,6,ARCHAEOLOGY; TEMPLE; JAVA,22724,0,,,Djokja; Solo; Prambanan; Boroboedoer; Batavia,-7.8,110.36
Javasche Oudheden.,1859/04/27,http://resolver.kb.nl/resolve?urn=ddd:010482993:mpeg21:a0034:ocr,6,ARCHAEOLOGY; VOLCANIC; JAVA,13809,0,,,Batavia,-6.17,106.83
Oost-Java: De Ongerepte Schoonheid van het Hiang Plateau. Wandeling in het Maanlicht: Spookachtig Trekken Nevelslierten Voorbij... Maatregelen Tegen Stroopers. Bronstijd der Herten.,1938/05/31,http://resolver.kb.nl/resolve?urn=MMKB23:003459051:mpeg21:a00265:ocr,6,METAL; PREHISTORIC; JAVA,24377,0,,,Malang; Probolinggo; Bondowoso; Smeroe; Merapi,-7.98,112.63
DE NEDERLANDSCHE EXPEDITIE IN CENTRAAL BORNEO. De geologische gesteldheid van het binnenland. HINDOE-OUDHEDEN IN HET HART VAN BORNEO. De geheimzinnige Goenoeng Kombeng. In Borneo’s binnenland staan Boeddha-beelden van ruim duizend jaar oud.,1926/01/27,http://resolver.kb.nl/resolve?urn=MMKB23:001691065:mpeg21:a00027:ocr,5,ARCHAEOLOGY; STATUE,7727,0,,,Batavia,-6.17,106.83
Bronstijd,1938/09/05,http://resolver.kb.nl/resolve?urn=ddd:010227647:mpeg21:a0185:ocr,5,METAL; PREHISTORIC,1584,0,,,,,
BRONSTIJD.,1938/08/17,http://resolver.kb.nl/resolve?urn=MMKB23:003474093:mpeg21:a00143:ocr,5,METAL; PREHISTORIC,2300,0,,,Batavia,-6.17,106.83
Daroel Islam heeft de strijdbijl opgegraven Hevige gevechten op West-Java,1961/10/16,http://resolver.kb.nl/resolve?urn=MMRHCG04:235060039:mpeg21:a00070:ocr,4,ARCHAEOLOGY; JAVA,1799,0,,,Soerabaja,-7.25,112.75
"De Schoonheid van de Vorstenlanden. Bakermat der Javaansche Cultuur, voortlevend in Oudheden, Hofgebruiken en Kunstnijverheid. Herinneringen aan Glorietijd van Mataram. Modern Jogja als Woonplaats.",1935/05/31,http://resolver.kb.nl/resolve?urn=MMKB23:001754066:mpeg21:a00262:ocr,4,ARCHAEOLOGY; JAVA,7143,0,,,Solo; Prambanan,-7.57,110.82
Naar Tjandi Panataran en de Lahar Kali Poetih.,1927/09/06,http://resolver.kb.nl/resolve?urn=MMKB23:001706013:mpeg21:a00116:ocr,4,TEMPLE; VOLCANIC,4854,0,,,Kediri; Blitar; Boroboedoer; Panataran; Kloet,-7.82,112.01
