volume,year,match_type,match_desc,match_text,depth_m,depth_unit,site_name,has_site,has_volcanic,location,sites_nearby,volcanic_nearby,locations_nearby,page_est,context
OV_1912,1912,volcanic_arch_tephra,Volcanic+archaeological: tephra/ash/tuff,ASCH,,,monumenten,True,True,,monumenten,ASCH,,1,"GOVERNMENT OF INDIA  ARCHAEOLOGICAL SURVEY OF INDIA   archaeological   LIBRARY    ACCESSION NO.   CALL No. 9t5 9 1 Q5/0.V    D.G.A. 79          i ’ * -   . /, ‘ , . - ■   OUDHEIDKUNDIGE DIENST   r   IN   if NEDERLANDSCH-INDifi   J ^   OUDHEIDKUNDIG VERSLAG   1912    UITGEGEVEN DOOR HEX ■ ■ ' ' ""   BATAVIAASCH GENOOTSCHAP VAN  KUNSTEN EN WETENSCHAPPEN '     WELTEVREDEN ] 'S HAGE    ALBRECHT & Co M. NIJHOFF        AL.    57^1 3i~   .U...   CA.; : '^VSs’^OM     I N H O U D    Bladz.    Oudheidkundig Verslag over het eerstc kwartaal 1912 . . . . 1   Bijlage A. Lijst der fotografische opnamen 10   Bijlage B, Stand van het teekenwerk 13   Bijlage C. Voorloopige lijst van monumenten. I Oost Java . . H   Oudheidkundig Verslag over het tu’eede kwartaal 1912. . . . 21   Bijlage D. Lijst der fotograf"
OV_1912,1912,volcanic_arch_tephra,Volcanic+archaeological: tephra/ash/tuff,asch,,,tempels,True,True,,tempels,asch,,5,". Epigraphie.   Mpn epigraphische werkzaaniheden l>estonden voorname-  lijk in de bestiideering van de oorkonden van Krtanagara,  waarvan er een, die van 1188. in het Oudheidkundm   o   Rapport van 1911 wordt gepnblieeerd. Verder hield ik mij  bezig met de inseripties uit de Padangsche Bovenlanden,  in verb and met een aanstaande reis daarheen. Ten slotte  werd de epigraphische nalatenschap van wijien Dr. Braudes  onderzocht, naar aanleiding van de eventueele publieatie  daarvan door het Bataviaasch Genootschap.   § 9. Fotografieen,   Bij dit verslag worden 58 ahiruklvcn aangeboden. waarvan  men de lijst vindt in Bijlage A. De opnamen zijn alle van     7    den Heer Melville en betretfen respectievelgk de poorten  eii tempels van Djedong, Bangkal, Kesimau-tengah, Rimbi,  Goenoeiig-tTangsir"
OV_1912,1912,volcanic_arch_v_ringgit,Volcanic+archaeological: Ringgit,Ringgit,,,Tjandi Pasetran,True,True,,Tjandi Pasetran,Ringgit,,8,"par^ar.   ?!^oerabaja.   ^MuJjokerto.   Modjukerto.   Moeteran.      •Sen tana-red jo.     ,,   Temon.    -   Modjosari.   Djedong.   *7      Bangkal.     Djaboeng.   Biting.   ..     Kesiman-tengab.    Sido-ardjo,   Kau'apoei.'e I.   Tjandi-Pari.   ,,   1 *   Gcdaiigaii.   Boentjittan-tani.     Ki'ian.   Tjainli-Denna.   Madoera.   Pam ek a sail.   Pamckasan.   Proppo.   Pasoeroeluxn.   Baiigil.   Gempol.   Kebon-tjandi.      AVonosonjo.   -    Paiidaiin.   Tjandi-redjo.   7'     toj) Ooenoeng Ringgit.   77    Poerwnredjo.   pertapan Rahtaoe.   77   Malang.   An tang.   Botjok.   •7    Penanggnengan.   Sanggariti.    ?•    Gading-koelon.   M   *1   7*   PukiH.   T< >e 111 pang.     i   1   Kidal.        17      Monnmeut.    Tjainli Kinibi.   l^app.    ]\n   (nipoera bij liet ^rat van    M"
OV_1912,1912,volcanic_arch_v_arjuno,Volcanic+archaeological: Arjuno,Ardjoeno,,,Tjandi Singasari,True,True,,Tjandi Singasari; Tjandi Kedaton; Tjandi Retja; tempel; Monument,Ardjoeno,,9,"ie.   Afdeeling,   Distidet.   Desa.   Pasoeroehan.   BaiigiL   Karan glo.   Singasari.    77   Senggasara.   Kalanglo.   Soember-Poetjoeng.   '7   KraksaUn,   Kraksailii.   Djaboeng'tjaiidi.    7 '   Gading.   • 7   Andoeiig-biroe.   Besoeki.   Dj ember.   Dj ember.   Krandjingan.   77   •7   Poeger.   Meiiampoeh.    19    Monument.   Opname,   Laatsfce eontrOle.   Tjandi Singasari.   monogralie van 19<)9.   1910.   Kawi-miiur.   Rapp. 1902 p. 3()0 ^q.   1902.   Tjaudi’s op den (ioeuoeng     : Ardjoeno.   niet opgenomen.   Verbeek p. 301.   Tjaiidi Djaboeng met bij-     tempel.   Rapp. 1903 p. 107 sq.   1910.   Tjandi Kedaton.   Rapp. 1904 p- 113 >qq.   1904.   , Tjandi’s op den Goenoeng |     \ Argapoera.   niet opgenomen.   Verbeek p. o20 ?q.   Kedaton.   Rapp. 1904 p. 135 sq.   1904.  "
OV_1912,1912,volcanic_arch_tephra,Volcanic+archaeological: tephra/ash/tuff,asch,,,tempels,True,True,,tempels; tempels; inscriptie,asch,,36,"en dragen een Kawi-inscriptie, het vierde be vat den  godeiinaam Yisnu. Het i< voor het eerst, dat een dergelijke  vondst bij een der Dieng-tempels gedaan is, hoewel reeds  enkele plaatjes bekend wareu, waarschijnlijk uit die bnurt         77    afkonistig: het zai daarom geen betoog behoeveu. hoe hoogst  belangrijk het is, dat thaiis tusscheii den bouw van een dier  tempels eu de schriftsoort van deze plaatjes authentiek ver-  baud gelegd kan wordeii. De plaatjes -wordeu bewaard in  het Bataviaasch Museum (inv. 5204).   Nog verdient veruiehling, naar aanleidiog van de op pag.   08 van het vorig verslag aaiigegeven vooidoopige sehikking  omtrent de vondsten in Base, dat thans detinitiet' bepaald  is, dat van deze vondsten door de Direetie van het Bata-  viaaseh Beuootsehap aaiigewezen zal "
OV_1912,1912,volcanic_arch_lava,Volcanic+archaeological: lava,lava,,,tempel,True,True,,tempel; tempel; tempel; tempel; beeld van Par,lava,,46,"an Jhavericand.   222   id.   2071    -   Motishah Tuk, algemeen ge-  zicht   223   id.   2072      224   id.   2073    ..   id.. Zuidelijke gaanderij.   225   i<l.   2074   n   -   id., Motishah tempel.   220   id.   2075   n   1   -   id., tempel Z. \V. vau Mo-  tlshah-tempel.   227   id,   2078   -   -   i id., tern pels buiteu de^Iotishah  Tuk.   228   id.   2080     Xaudlevara Dvipa, van binnen.   229   : id.   2081   ’J    id., zuilen van de gaanderij.   230   id.   2082    -   Pafica Painlava-tempel, alge-  ! meeu gezicht.   231   id.   2083   n 1    id., benedenstuk.   232   id.   2084   1   -   id., altaar met 1008 beelden,  eracliter.   233 1   j i   id.   2085   -   i   Uatiuicand Jaubareund’s tem-  pel.    j    I     100    Volg- 1  num- I  mer. |   1   No. Br.-Indie.   Staat o"
OV_1912,1912,volcanic_arch_lava,Volcanic+archaeological: lava,lava,,,tempel,True,True,,tempel; tempel; tempel; tempel,lava,,50,dapa.   443   ill.   2209   -   ..   Kapul levara’s mandapa.   444   id.   2210    ..   Krsna’s mandapa.   445   id.   2211     Pafiea Pandava mandapa.   44ti   id.   2212     Vai>nava grot.   447   id.   2214   -    Yam a purl grot.   448   id.   2215    -   tempel op de rot^ (oude vuur-  toren).   449   id.   2210   -   ..   onatgewerkte grot.   450   id.   2217   .   *•   ongeidentiOeeerde grot.   451   id.   2218   ..     452   id.   2219     .   453   id.   2223   _    ! gezicht o}» de Paielava ratha*s.   454   id.   2224   - 1    1 Bhima’s ratlia.   455 !   1   id.   2225   -    Dharmaraja's rath a.   450   id.   2220    ; 1  i   Draupadi's en Arjuna's rat ha.   457   id.   2227   ..   1   Laneca's ratha.   458   id.   2232   -   !   rotssculptuur ( Arjuiuds boete).   459   id.   223
OV_1914,1914,volcanic_arch_tephra,Volcanic+archaeological: tephra/ash/tuff,asch,,,tempelresten,True,True,,tempelresten,asch,,3,"7. Vondsten.   Omtrent den in het vorig verslag vermelden steeu van  Banaiifi deelde de resident van Bengkoelen raede, dat deze  niet te vervoereu was : er zulleu nu echter foto's en abklat-  sc-hen van gemaakt worden.   De resident van Kedoe gaf kenuis van een voudst van  tempelresten enz. nabij ilagelang. welke nader onderzocht  zal worden.   § 8. Epigraphie.   De publicatie van de epigraphische nalatenschap van Dr.  .1. L. A. Braudes heeft thans in deel LX der Verhandelingen  van het Bataviaasch Genootschap plants gehad. Van de  resultaten der epigraphi.sche werkzaamheden van onderge-  teekende is een en ander te vinden in een artikel  .Epigraphische aanteekeningen IV — VIE’ dat in Tijdschr.  Bat. Gen. van dit jaar verschijnen zal.   Een belangrijke hoeveelheid epigraphisch materiaal ni"
OV_1914,1914,depth_m,X.X M diep,3.50 M. diep,3.5,meter,Tjandi Djawi,True,False,,Tjandi Djawi; ontgravingen; opgraving; baksteenen; beeld van Krtauagara,,,23,"me-  dedeeliug van den regent, het thans te Soerabaja staand  Aksobhya-beeld van Krtauagara uit 1211 , genaamd de Djaka  Dolok, afkomstig is. Eindelijk was, eveneens door den  regent, op een plants genaamd TJniidi Tilcoes. op korten  afstand van Badjaugratoe, een boveu den grond uitstekend  toj>stuk aangetruhen, dat klaarblijkelijk nog aan het bpbe-  hoorend, geheel in den grond geraakte bouwwerk vastzat.  Ook hier haddeu onder leiding van den Heer Melville  verdere ontgravingen plants, die tot 3.50 M. diepte werden   1) Hierovt‘ 1 ' zal eeii kleine medetleeling Avordun opgenomen in het  Tjidschr. Bat. Uen.     58    voortgezet. Wat er te voorsehijn kwam. was een baksteenen  plateautje op fraai versierd roetstuk, met opzij zorgvuldig  bewerkte met in- en uitspriugende lijsteii geornamentee"
OV_1914,1914,volcanic_arch_lava,Volcanic+archaeological: lava,lavaan,,,inscriptie,True,True,,inscriptie; koperplaat,lavaan,,25,"Gen. 1911  p. dllsqcp) bierbeen overgebracbt.   Xaar aanleiding van den ,batoe pandapatan'’ te Taudjoeng  (Pad. Boveul.) werd door Dr. Pb. S. van Ronkel een iiota  aangeboden, bieracbter opgenomen als Bijlage N.   Yoor in Kediri ontdekte bescbreven steeuen wordt ver-  wezen naar § 7.   Van den Heer G. Dom te Tjebougau outving ik ter  inzage een zeer merkwaardige koperplaat, waarop in bet  midden is voorgesteld een vrouwefiguur, welke een kind  draagt; bet gebeel omgeven door 36 regels^Middeii-.lavaan.scb’  Kawi-scbrift. De inscriptie is vooral voor onze kennis der  Hindoe-,Javaansche godsdien.stige voorstellingen van belang.     61    daar zy klaarblijkelgk verscliillende formules bevat ter eere  van de ook door vele vSanskrit-epitheta gehuldigde Dewl.   § 9. Fotografieen.   In Bijlage L i"
