author,year,title,journal_or_source,volume_issue,language,topic_keywords,region,site_names_mentioned,has_gpr_data,has_coring_data,has_stratigraphy,volcanic_zone,burial_depth_mentioned,relevance_to_volcarch,notes
Tjahjono Boedhihartoyo,1999,Candi Sambisari: Sebuah Candi yang Terkubur,Berkala Arkeologi,Vol 19 No 2,id,"candi terkubur, stratigrafi vulkanik, Merapi",Yogyakarta,Sambisari,no,no,yes,yes,yes,high,"Key buried temple. Discovered 1966, buried 5-6.5m under volcanic deposit from Merapi. Primary VOLCARCH calibration site."
Tjahjono Boedhihartoyo,2001,Candi Kedulan: Temuan dan Permasalahannya,Berkala Arkeologi,Vol 21 No 1,id,"candi terkubur, lahar, Merapi",Yogyakarta,Kedulan,no,no,yes,yes,yes,high,"Discovered 1994 during sand mining. Buried ~4m under Merapi lahar deposits. Incomplete excavation."
Soekmono R.,1976,Chandi Borobudur: A Monument of Mankind,UNESCO,monograph,en,"candi, restorasi, stratigrafi",Central Java,Borobudur,no,yes,yes,yes,no,medium,"Major restoration monograph. Some stratigraphic data from foundation investigations. No volcanic burial depth data per se but relevant context."
Dumarcay Jacques,1993,Histoire de l'architecture de Java,EFEO Memoires Archeologiques,Vol 19,en,"arsitektur candi, stratigrafi, fondasi",Java (general),Multiple candi,no,no,yes,yes,no,medium,"Comprehensive architectural study. Foundation depths and construction strata documented for multiple temples."
Degroot Veronique,2009,"Candi Space and Landscape: A Study on the Distribution, Orientation and Spatial Organization of Central Javanese Temple Remains",Leiden University (dissertation),PhD thesis,en,"distribusi candi, landscape, orientasi, GIS",Central Java,Multiple candi,no,no,no,yes,no,high,"GIS-based study of temple distribution. Directly relevant to E065/E066 spatial analyses. No subsurface data."
Degroot Veronique,2010,Temples and Landscape in South Central Java,Bijdragen tot de Taal- Land- en Volkenkunde (BKI),Vol 166 No 2-3,en,"candi, landscape, distribusi",Central Java,Multiple candi,no,no,no,yes,no,medium,"Journal version of dissertation findings. Temple distribution patterns."
Klokke Marijke J.,2006,Ornamental Metalwork from Ancient Java,Royal Tropical Institute,Bulletin 359,en,"logam, artefak, fondasi candi",Java,Multiple,no,no,no,yes,no,low,"Metal artifacts from temple contexts. Some provenance data with find depths."
Bernet Kempers A.J.,1959,Ancient Indonesian Art,Harvard University Press,monograph,en,"seni kuno, candi, arkeologi Indonesia",Indonesia (general),Multiple,no,no,no,yes,no,low,"Comprehensive catalog. Some find-context descriptions but no systematic depth data."
Miksic John N.,1990,Old Javanese Gold,Ideation,monograph,en,"emas, artefak, stratigrafi",Java,Multiple,no,no,yes,yes,yes,medium,"Gold artifacts with find contexts. Some burial depth data from discovery circumstances."
Miksic John N.,2004,"From Megaliths to Tombstones: The Transition from Prehistory to Early Islamic Period in Highland West Java",Indonesia and the Malay World,Vol 32 No 93,en,"megalit, transisi, dataran tinggi",West Java,"Gunung Padang, Cipari",no,no,yes,yes,no,medium,"Highland archaeological transition. Some stratigraphic context in volcanic terrain."
Miksic John N.,1999,Water Mineral and Sacred Space in Ancient Java,Proceedings International Conference on Old Javanese Studies,conference,en,"air, mineral, sacred space, situs",Java,Multiple,no,no,no,yes,no,low,"Sacred landscape analysis. Context for understanding temple siting in volcanic zones."
Rangkuti Nurhadi,2008,Survei Arkeologi di Kabupaten Lumajang Jawa Timur,Berkala Arkeologi,Vol 28 No 1,id,"survei, situs baru, vulkanik",East Java,"Multiple sites Lumajang",no,no,yes,yes,yes,high,"Survey in Semeru volcanic zone. Reports burial of sites under volcanic deposits. Key for E059 fieldwork targets."
Rangkuti Nurhadi,2000,Situs-situs Arkeologi di Lereng Gunung Arjuno,Berkala Arkeologi,Vol 20 No 2,id,"situs, Gunung Arjuno, survei",East Java,Multiple Arjuno sites,no,no,yes,yes,yes,high,"Archaeological sites on Arjuno slopes. Documents volcanic burial conditions. Directly relevant to VOLCARCH Zone B."
Siswanto,2011,"Eksplorasi Situs Liyangan, Temanggung: Situs Permukiman Masa Mataram Kuno yang Terkubur",Berkala Arkeologi,Vol 31 No 2,id,"Liyangan, permukiman terkubur, Sindoro, vulkanik",Central Java,Liyangan,no,no,yes,yes,yes,high,"Settlement site buried by Sindoro eruption. One of the most important buried sites in Java. Multiple meters of volcanic deposit."
Siswanto,2013,Liyangan: Ragam Aktivitas di Sebuah Permukiman Masa Mataram Kuno,Kalpataru,Vol 22 No 1,id,"Liyangan, aktivitas, Mataram Kuno",Central Java,Liyangan,no,no,yes,yes,yes,high,"Continued excavation results from Liyangan. Additional stratigraphic data from volcanic burial context."
Riyanto Sugeng,2014,Permukiman Liyangan: Situs Masa Mataram Kuno Abad VIII-X M di Lereng Gunung Sindoro,Amerta,Vol 32 No 2,id,"Liyangan, permukiman, stratigrafi vulkanik",Central Java,Liyangan,no,no,yes,yes,yes,high,"Comprehensive excavation report. Detailed volcanic stratigraphy. 8th-10th century settlement buried under multiple eruption layers."
Simanjuntak Truman,2006,Indonesia-Southeast Asia: Climates Settlements and Cultures in Late Pleistocene,Comptes Rendus Palevol,Vol 5 No 1-2,en,"prasejarah, Pleistosen, iklim",Indonesia (general),Multiple,no,yes,yes,yes,no,medium,"Paleoenvironmental context. Coring data from several Indonesian sites. Volcanic deposit context for deep time."
Simanjuntak Truman,2002,Gunung Sewu in Prehistoric Times,Gadjah Mada University Press,monograph,id,"prasejarah, gua, Gunung Sewu",East Java,Gunung Sewu caves,no,yes,yes,no,no,low,"Karst cave archaeology. Non-volcanic zone but important comparison for cave site preservation bias (E081 ADV-2)."
Tanudirjo Daud Aris,2001,Islands in Between: Prehistory of the Northeastern Indonesian Archipelago,Australian National University (dissertation),PhD thesis,en,"prasejarah, pulau, Maluku",Maluku,Multiple,no,no,yes,no,no,low,"Eastern Indonesian prehistory. Non-volcanic context useful for control comparison."
Widianto Harry,2011,Evolusi Manusia di Jawa: Catatan Baru dari Situs Sangiran,Berkala Arkeologi,Vol 31 No 1,id,"Sangiran, evolusi, stratigrafi",Central Java,Sangiran,no,yes,yes,yes,yes,high,"Sangiran stratigraphy includes volcanic layers. Deep burial context. Relevant to long-term volcanic sedimentation."
Noerwidi Sofwan,2012,Pola Hunian Gua Kidang Blora Jawa Tengah,Berkala Arkeologi,Vol 32 No 1,id,"gua, pola hunian, stratigrafi",Central Java,Gua Kidang,no,no,yes,no,no,low,"Cave site — non-volcanic. Useful for site preservation comparison."
